"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Artem Anisimov","CHI","F","Act","CHI 2<br/>@NSH 5 F","70","14","20","34","-4","14","128","4","1","23","31"
"F","Connor Brickley","NSH/NYR","F","Act","NYR 4<br/>@PIT 3 F","8","1","1","2","0","9","14","0","0","22","5"
"F","Christian Dvorak","ARI","F","Act","WPG 4<br/>@ARI 2 F","13","2","4","6","-2","2","19","1","0","11","2"
"F","Jake Guentzel","PIT","F","Act","NYR 4<br/>@PIT 3 F","69","34","33","67","17","24","185","10","1","85","39"
"F","Matt Hendricks","MIN/WPG","F","Act","WPG 4<br/>@ARI 2 F","13","0","2","2","1","12","12","0","0","20","5"
"F","Phil Kessel","PIT","F","Act","NYR 4<br/>@PIT 3 F","76","24","51","75","-20","28","198","33","0","11","17"
"F","Par Lindholm","TOR/WPG","F","Act","WPG 4<br/>@ARI 2 F","56","0","10","10","4","16","54","0","0","51","44"
"F","Greg McKegg","CAR","F","Act","CAR 4<br/>@PHI 3 F","24","3","2","5","-4","2","16","0","0","25","11"
"F","Brandon Pirri","VGK","F","Act","VGK 2<br/>@LAK 5 F","25","8","4","12","6","6","66","2","0","20","8"
"F","Michael Raffl","PHI","F","Act","CAR 4<br/>@PHI 3 F","59","6","11","17","-1","28","58","0","1","89","23"
"F","Tomas Tatar","MTL","F","Act","TOR 5<br/>@MTL 6 F","74","23","31","54","21","30","184","8","0","73","29"
"F","James van Riemsdyk","PHI","F","Act","CAR 4<br/>@PHI 3 F","59","26","18","44","-8","18","143","12","0","32","15"
"D","Robert Bortuzzo","STL","D","Act","VAN 2<br/>@STL 3 F","52","2","7","9","6","41","63","0","1","85","66"
"D","Matt Grzelcyk","BOS","D","Act","TBL 6<br/>@BOS 3 F","60","2","14","16","7","64","81","6","0","44","52"
"D","Ben Harpur","OTT","D","Act","CBJ 6<br/>@OTT 2 F","46","1","4","5","-16","56","41","0","0","80","60"
"D","Markus Nutivaara","CBJ","D","Act","CBJ 6<br/>@OTT 2 F","73","4","14","18","1","6","89","0","0","72","53"
"D","Colton Parayko","STL","D","Act","VAN 2<br/>@STL 3 F","75","10","15","25","18","15","170","8","1","113","147"
"D","Jacob Trouba","WPG","D","Act","WPG 4<br/>@ARI 2 F","75","6","37","43","8","58","145","16","2","100","161"
"F","Ryan OReilly","STL","F","Res","VAN 2<br/>@STL 3 F","64","24","37","61","20","8","177","16","3","26","29"
"F","Sven Baertschi","VAN","F","IR","VAN 2<br/>@STL 3 F","21","6","5","11","-7","6","34","7","0","14","13"
"F","Nathan Bastian","NJD","F","IR","NJD 4<br/>@FLA 3 F","1","0","0","0","-1","0","2","0","0","4","0"
"F","Jujhar Khaira","EDM","F","IR","EDM 3<br/>@CGY 1 F","53","3","13","16","-8","38","53","0","2","108","31"
"F","Devin Shore","DAL/ANA","F","IR","","62","7","16","23","-10","9","60","3","2","74","55"
"F","Brandon Sutter","VAN","F","IR","VAN 2<br/>@STL 3 F","25","4","1","5","-13","6","41","1","1","33","13"
"D","Stephen Johns","DAL","D","IR","MIN 0<br/>@DAL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Michael Stone","CGY","D","IR","EDM 3<br/>@CGY 1 F","11","0","4","4","-1","8","10","0","0","23","13"
"F","Andy Andreoff","TBL","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Riley Barber","WSH","F","Min","NYI 3<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Kyle Brodziak","EDM","F","Min","EDM 3<br/>@CGY 1 F","42","3","2","5","-12","8","41","0","0","52","28"
"F","Greg Carey","PHI","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Zac Dalpe","CBJ","F","Min","CBJ 6<br/>@OTT 2 F","1","0","1","1","1","0","1","0","0","0","0"
"F","Jan Drozg","PIT","F","Min","NYR 4<br/>@PIT 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","MacKenzie Entwistle","CHI","F","Min","CHI 2<br/>@NSH 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Brady Ferguson","TOR","F","Min","TOR 5<br/>@MTL 6 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jesse Gabrielle","BOS","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Luke Henman","CAR","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Max Jones","ANA","F","Min","","1","0","0","0","0","0","1","0","0","1","0"
"F","Axel Jonsson-Fjallby","WSH","F","Min","NYI 3<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ville Leskinen","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ty Lewis","COL","F","Min","COL 2<br/>@SJS 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Nick Paul","OTT","F","Min","CBJ 6<br/>@OTT 2 F","12","0","1","1","-5","4","21","0","0","11","3"
"F","Brett Pollock","CGY","F","Min","EDM 3<br/>@CGY 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Sampo Ranta","COL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Sebastian Repo","FLA","F","Min","NJD 4<br/>@FLA 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Kerby Rychel","CGY","F","Min","EDM 3<br/>@CGY 1 F","1","0","0","0","0","0","1","0","0","1","1"
"F","Jiri Sekac","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tim Soderlund","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jesse Ylonen","NSH","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Mark Alt","COL","D","Min","COL 2<br/>@SJS 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Xavier Bouchard","VGK","D","Min","VGK 2<br/>@LAK 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Casey Fitzgerald","BUF","D","Min","BUF 7<br/>@DET 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Adam Ginning","PHI","D","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Julius Honka","DAL","D","Min","MIN 0<br/>@DAL 3 F","20","0","4","4","1","2","26","0","0","10","18"
"D","Linus Hultstrom","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Luke Martin","NYR","D","Min","NYR 4<br/>@PIT 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Carl Neill","VAN","D","Min","VAN 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","David Noel","STL","D","Min","VAN 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Colin Larkin","EDM","F","-","EDM 3<br/>@CGY 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Cam Fowler","ANA","D","-","","10","0","4","4","1","6","16","0","0","1","30"
"D","Dmitrii Sergeev","(N/A)","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","1,251","213","366","579","0","524","2,150","127","15","1,314","1,002"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W-G","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Carter Hutton","BUF","G","Act","BUF 7<br/>@DET 1 F","24","8","2.92","663",".909","0","0","0","0","0","0","0"
"G","Laurent Brossoit","WPG","G","Res","WPG 4<br/>@ARI 2 F","10","5","2.38","330",".932","0","0","0","0","0","0","0"
"G","Pheonix Copley","WSH","G","Res","NYI 3<br/>@WSH 0 F","11","9","2.42","301",".920","1","0","0","0","0","0","0"
"G","Pekka Rinne","NSH","G","Res","CHI 2<br/>@NSH 5 F","33","18","2.40","813",".916","3","2","0","0","0","0","0"
"G","Philippe Desrosiers","DAL","G","Min","MIN 0<br/>@DAL 3 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Ville Husso","STL","G","Min","VAN 2<br/>@STL 3 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Jake Oettinger","DAL","G","Min","MIN 0<br/>@DAL 3 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Olivier Rodrigue","EDM","G","Min","EDM 3<br/>@CGY 1 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Ilya Samsonov","WSH","G","Min","NYI 3<br/>@WSH 0 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Daniel Vladar","BOS","G","Min","TBL 6<br/>@BOS 3 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Daniel Altshuller","(N/A)","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"Totals","","","","","","78","40","2.56","2,107",".917","4","2","0","0","0","0","0"
