"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Oskar Back","DAL","F","Act","","40","4","4","8","7","6","24","0","1","15","21"
"F","Ivan Barbashev","VGK","F","Act","","53","13","23","36","9","8","78","2","0","85","27"
"F","Michael Bunting","NSH","F","Act","","53","12","17","29","-10","14","94","8","0","30","17"
"F","Jake DeBrusk","VAN","F","Act","","53","13","15","28","-11","8","150","14","0","50","20"
"F","Anders Lee","NYI","F","Act","","54","11","18","29","6","29","133","5","0","48","27"
"F","Jonathan Marchessault","NSH","F","Act","","32","9","4","13","-15","4","73","4","0","47","5"
"F","Brock Nelson","COL","F","Act","","52","28","19","47","6","18","117","11","0","26","41"
"F","Lane Pederson","PHI","F","Act","","5","0","0","0","0","0","0","0","0","16","3"
"F","Aatu Raty","VAN","F","Act","","43","3","9","12","2","18","42","0","0","100","9"
"F","Mark Scheifele","WPG","F","Act","","53","26","38","64","3","22","110","14","1","23","28"
"F","John Tavares","TOR","F","Act","","54","19","26","45","-16","20","133","7","0","50","13"
"F","Mats Zuccarello","MIN","F","Act","","34","8","20","28","-7","8","66","10","0","11","16"
"D","Adam Boqvist","NYI","D","Act","","14","0","1","1","0","4","6","0","0","8","15"
"D","Joel Edmundson","LAK","D","Act","","52","2","14","16","11","19","71","2","1","61","55"
"D","Vladislav Gavrikov","NYR","D","Act","","55","8","11","19","-13","24","82","4","0","35","85"
"D","Roman Josi","NSH","D","Act","","41","9","22","31","-11","22","110","13","0","12","64"
"D","Jeremy Lauzon","VGK","D","Act","","39","0","8","8","3","48","39","0","0","147","63"
"D","Jamie Oleksiak","SEA","D","Act","","47","3","5","8","12","12","43","0","0","60","67"
"F","Joe Veleno","MTL","F","Res","","39","2","2","4","-5","15","39","0","0","95","21"
"D","Arber Xhekaj","MTL","D","Res","","48","1","1","2","-7","104","32","0","0","131","33"
"F","Rodrigo Abols","PHI","F","IR","","21","2","7","9","5","11","22","0","2","21","15"
"F","John Beecher","CGY","F","IR","","13","0","1","1","-1","2","13","0","0","11","6"
"F","Oskar Sundqvist","STL","F","IR","","38","3","8","11","-15","10","32","1","0","44","23"
