"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Ivan Barbashev","STL/VGK","F","Act","","67","12","23","35","-7","36","106","3","0","152","36"
"F","Patrice Bergeron","BOS","F","Act","","65","24","25","49","27","20","214","15","2","52","48"
"F","Michael Bunting","TOR","F","Act","","65","20","23","43","23","74","126","8","0","63","15"
"F","Jake DeBrusk","BOS","F","Act","","45","17","17","34","13","8","132","13","1","62","16"
"F","Anders Lee","NYI","F","Act","","68","26","20","46","2","44","181","13","0","107","44"
"F","Milan Lucic","CGY","F","Act","","64","5","10","15","-11","37","64","0","0","145","13"
"F","Jonathan Marchessault","VGK","F","Act","","61","21","24","45","-3","13","190","13","0","66","12"
"F","Mark Scheifele","WPG","F","Act","","67","38","22","60","-7","39","175","19","0","41","30"
"F","Eric Staal","FLA","F","Act","","46","12","9","21","-3","18","73","0","2","22","30"
"F","Oskar Sundqvist","DET/MIN","F","Act","","56","7","16","23","-3","24","62","7","0","47","26"
"F","Robert Thomas","STL","F","Act","","62","15","42","57","-7","22","92","17","1","15","25"
"F","Mats Zuccarello","MIN","F","Act","","4","2","2","4","2","2","12","1","0","6","3"
"D","Mark Giordano","TOR","D","Act","","65","4","18","22","25","47","94","0","1","47","123"
"D","Jani Hakanpaa","DAL","D","Act","","5","0","4","4","5","2","5","0","0","19","7"
"D","Roman Josi","NSH","D","Act","COL 4<br/>@NSH 3 F","64","17","41","58","6","34","262","24","0","49","138"
"D","Jeremy Lauzon","NSH","D","Act","COL 4<br/>@NSH 3 F","55","3","7","10","-9","58","65","0","1","201","59"
"D","David Savard","MTL","D","Act","","53","3","13","16","-12","38","50","0","1","46","152"
"D","Arber Xhekaj","MTL","D","Act","","51","5","8","13","-9","101","75","3","0","159","46"
"F","Nick Cousins","FLA","F","Res","","59","5","16","21","5","36","83","0","0","59","28"
"F","Joe Veleno","DET","F","Res","","54","6","9","15","-2","18","59","2","0","102","28"
"D","Ryan Ellis","PHI","D","IR","","0","0","0","0","0","0","0","0","0","0","0"
"F","Oskar Back","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Evan Barratt","CHI/PHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","John Beecher","BOS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Riley Fiddler-Schultz","LAK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matthew Filipe","BOS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jesper Froden","SEA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Andre Gasseau","BOS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Derek Grant","ANA","F","Min","","29","3","7","10","-4","14","51","1","0","29","23"
"F","Dominik Kahun","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Gustav Karlsson","BUF","F","Min","BUF 5<br/>@CBJ 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Brad Lambert","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Anton Levtchi","FLA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Stelio Mattheos","CAR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ilya Nikolaev","CGY","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jacob Perreault","ANA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Aatu Raty","NYI/VAN","F","Min","","10","1","0","1","0","4","13","0","0","12","4"
"F","Scott Sabourin","OTT","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matthew Seminoff","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Eemeli Suomi","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Bobby Trivigno","NYR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Riley Tufte","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Chris Wagner","BOS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Fabian Wagner","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Layton Ahac","VGK","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Haydn Fleury","TBL","D","Min","","8","0","1","1","-2","0","9","0","0","7","5"
"D","Kirill Kirsanov","LAK","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jon Merrill","MIN","D","Min","","61","2","8","10","-5","24","37","0","0","39","83"
"D","Matthew Morden","ARI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
