"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","LAK","F","Act","ANA<br/>Sat 10:30PM","52","18","21","39","5","22","190","7","0","17","36"
"F","Jamie Benn","DAL","F","Act","SEA<br/>Sat 8:00PM","64","16","22","38","-2","74","150","9","1","123","46"
"F","Thomas Bordeleau","SJS","F","Act","CHI<br/>Sat 8:00PM","","","","","","","","","","",""
"F","Logan Couture","SJS","F","Act","CHI<br/>Sat 8:00PM","60","21","26","47","-8","18","157","13","3","78","44"
"F","Alex Formenton","OTT","F","Act","MTL<br/>Sat 7:00PM","57","14","12","26","-6","36","118","0","5","71","21"
"F","Conor Garland","VAN","F","Act","@CGY<br/>Sat 10:00PM","62","14","21","35","12","32","167","2","0","46","13"
"F","Vinnie Hinostroza","BUF","F","Act","NYI<br/>Sat 12:30PM","31","8","6","14","-6","14","43","1","0","11","7"
"F","Travis Konecny","PHI","F","Act","","63","12","31","43","-16","51","172","10","0","71","28"
"F","Jordan Kyrou","STL","F","Act","@ARI<br/>Sat 10:00PM","60","22","40","62","9","18","147","15","1","4","18"
"F","Scott Laughton","PHI","F","Act","","54","11","17","28","-6","27","94","1","2","114","44"
"F","Jonathan Toews","CHI","F","Act","@SJS<br/>Sat 8:00PM","54","8","19","27","-9","31","94","5","0","19","15"
"F","Vincent Trocheck","CAR","F","Act","@NJD<br/>Sat 12:30PM","65","18","26","44","14","70","127","12","0","148","38"
"D","Calvin de Haan","CHI","D","Act","@SJS<br/>Sat 8:00PM","51","1","3","4","-13","29","81","0","0","109","138"
"D","Oliver Ekman-Larsson","VAN","D","Act","@CGY<br/>Sat 10:00PM","64","4","15","19","0","42","142","6","0","84","62"
"D","Samuel Girard","COL","D","Act","","56","5","22","27","1","18","65","7","0","50","77"
"D","Jake McCabe","CHI","D","Act","@SJS<br/>Sat 8:00PM","26","0","11","11","-6","8","22","0","0","57","54"
"D","Jamie Oleksiak","SEA","D","Act","@DAL<br/>Sat 8:00PM","51","1","12","13","4","41","66","0","1","128","55"
"D","Mike Reilly","BOS","D","Act","NYR<br/>Sat 3:00PM","49","2","9","11","-4","14","90","2","0","54","37"
"F","Nic Dowd","WSH","F","Res","","22","3","4","7","6","12","34","0","1","44","17"
"F","Conor Sheary","WSH","F","Res","","58","16","18","34","-2","14","109","6","0","37","36"
"D","Justin Schultz","WSH","D","Res","","55","2","12","14","-8","6","68","3","0","26","61"
"F","Andrew Copp","NYR","F","IR","@BOS<br/>Sat 3:00PM","58","14","26","40","4","8","154","10","2","38","37"
"F","Mathieu Joseph","OTT","F","IR","MTL<br/>Sat 7:00PM","1","0","0","0","0","0","2","0","0","2","1"
"F","Reilly Smith","VGK","F","IR","","54","16","22","38","8","8","147","7","4","52","23"
"D","Jake Muzzin","TOR","D","IR","@FLA<br/>Sat 7:00PM","41","2","10","12","-8","12","61","0","1","84","53"
"D","Scott Perunovich","STL","D","IR","@ARI<br/>Sat 10:00PM","18","0","6","6","4","8","13","3","0","5","11"
"F","Jeremy Bracco","CAR","F","Min","@NJD<br/>Sat 12:30PM","","","","","","","","","","",""
"F","Maxime Comtois","ANA","F","Min","@LAK<br/>Sat 10:30PM","36","3","6","9","-12","35","51","2","0","79","12"
"F","Laurent Dauphin","MTL","F","Min","@OTT<br/>Sat 7:00PM","10","0","2","2","-1","13","13","0","0","8","5"
"F","Lucas Edmonds","(N/A)","F","Min","","","","","","","","","","","",""
"F","Ridly Greig","OTT","F","Min","MTL<br/>Sat 7:00PM","","","","","","","","","","",""
"F","James Hardie","(N/A)","F","Min","","","","","","","","","","","",""
"F","Sam Hentges","MIN","F","Min","","","","","","","","","","","",""
"F","Bear Hughes","WSH","F","Min","","","","","","","","","","","",""
"F","Wyatt Johnston","DAL","F","Min","SEA<br/>Sat 8:00PM","","","","","","","","","","",""
"F","Ryder Korczak","NYR","F","Min","@BOS<br/>Sat 3:00PM","","","","","","","","","","",""
"F","Brett Leason","WSH","F","Min","","13","1","0","1","-1","0","15","0","0","7","3"
"F","Jalen Luypen","CHI","F","Min","@SJS<br/>Sat 8:00PM","","","","","","","","","","",""
"F","Ayrton Martino","DAL","F","Min","SEA<br/>Sat 8:00PM","","","","","","","","","","",""
"F","Blake McLaughlin","ANA","F","Min","@LAK<br/>Sat 10:30PM","","","","","","","","","","",""
"F","Jay O'Brien","PHI","F","Min","","","","","","","","","","","",""
"F","Justin Robidas","CAR","F","Min","@NJD<br/>Sat 12:30PM","","","","","","","","","","",""
"F","Kasper Simontaival","LAK","F","Min","ANA<br/>Sat 10:30PM","","","","","","","","","","",""
