"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","LAK","F","Act","","6","5","2","7","3","2","26","3","0","2","1"
"F","Jamie Benn","DAL","F","Act","","7","4","7","11","1","4","24","4","0","6","4"
"F","Oliver Bjorkstrand","SEA","F","Act","@MIN Mon 8:00PM","6","3","2","5","1","0","9","1","0","6","1"
"F","Maxime Comtois","ANA","F","Act","COL Mon 10:00PM","1","0","1","1","-1","2","1","1","0","0","0"
"F","Andrew Copp","DET","F","Act","","6","0","2","2","-5","2","10","1","0","2","5"
"F","Logan Couture","SJS","F","Act","","6","2","4","6","-2","0","17","1","0","12","3"
"F","Nic Dowd","WSH","F","Act","","4","1","0","1","-1","0","5","0","0","3","2"
"F","Conor Garland","VAN","F","Act","","8","1","4","5","0","2","15","1","0","4","2"
"F","Keegan Kolesar","VGK","F","Act","","1","0","0","0","0","0","1","0","0","5","1"
"F","Jordan Kyrou","STL","F","Act","","7","3","2","5","1","4","18","2","0","1","2"
"F","Casey Mittelstadt","BU"F","F","Act","MTL Mon 7:00PM","6","0","2","2","-3","2","8","2","0","1","1"
"F","Gabriel Vilardi","LAK","F","Act","","6","1","2","3","0","0","11","0","0","1","3"
"D","Samuel Girard","COL","D","Act","@ANA Mon 10:00PM","8","0","2","2","-4","0","7","0","0","1","16"
"D","Brett Kulak","EDM","D","Act","@ARI Mon 10:00PM","3","0","1","1","1","2","6","0","0","5","1"
"D","Esa Lindell","DAL","D","Act","","7","0","0","0","-3","0","4","0","0","7","9"
"D","Jake McCabe","TOR","D","Act","","8","1","1","2","3","4","12","0","0","12","12"
"D","Jamie Oleksiak","SEA","D","Act","@MIN Mon 8:00PM","5","0","1","1","-1","2","4","0","0","5","10"
"D","Justin Schultz","SEA","D","Act","@MIN Mon 8:00PM","4","0","0","0","1","0","5","0","0","2","4"
"F","Wyatt Johnston","DAL","F","Res","","7","5","1","6","-3","2","20","0","0","3","5"
"F","Vincent Trocheck","NYR","F","Res","","7","0","7","7","4","4","12","1","0","13","8"
"D","Noah Hanifin","CGY","D","Res","","7","1","4","5","-3","0","14","0","0","2","10"
"F","Ridly Greig","OTT","F","IR","FLA Mon 7:00PM","3","0","2","2","1","4","2","0","0","5","0"
"F","Mathieu Joseph","OTT","F","IR","FLA Mon 7:00PM","","","","","","","","","","",""
"F","Travis Konecny","PHI","F","IR","","","","","","","","","","","",""
"F","Reilly Smith","VGK","F","IR","","5","2","3","5","2","0","3","1","0","0","0"
"D","Oliver Ekman-Larsson","VAN","D","IR","","","","","","","","","","","",""
"D","Jarred Tinordi","CHI","D","IR","","7","0","1","1","-2","0","8","0","0","15","9"
"F","Parker Bell","CGY","F","Min","","","","","","","","","","","",""
"F","Maksim Berezkin","EDM","F","Min","@ARI Mon 10:00PM","","","","","","","","","","",""
"F","Thomas Bordeleau","SJS","F","Min","","","","","","","","","","","",""
"F","Kenny Connors","LAK","F","Min","","","","","","","","","","","",""
"F","Jack Drury","CAR","F","Min","","2","1","0","1","-1","0","7","0","0","1","1"
"F","Lucas Edmonds","TBL","F","Min","","","","","","","","","","","",""
"F","Ryan Hofer","WSH","F","Min","","","","","","","","","","","",""
"F","Isaac Howard","TBL","F","Min","","","","","","","","","","","",""
"F","Simon Knak","NSH","F","Min","","","","","","","","","","","",""
"F","Ryder Korczak","NYR","F","Min","","","","","","","","","","","",""
"F","Josh Lawrence","(N/A)","F","Min","","","","","","","","","","","",""
"F","Dans Locmelis","BOS","F","Min","","","","","","","","","","","",""
"F","Jalen Luypen","CHI","F","Min","","","","","","","","","","","",""
"F","Ayrton Martino","DAL","F","Min","","","","","","","","","","","",""
"F","Justin Robidas","CAR","F","Min","","","","","","","","","","","",""
"F","Ryan Tverberg","TOR","F","Min","","","","","","","","","","","",""
"F","Markus Vidicek","(N/A)","F","Min","","","","","","","","","","","",""
"F","Chase Wheatcroft","DAL","F","Min","","","","","","","","","","","",""
"D","Noah Beck","STL","D","Min","","","","","","","","","","","",""
"D","Tim Berni","CBJ","D","Min","","1","0","0","0","1","0","0","0","0","0","1"
"D","Lukas Cormier","VGK","D","Min","","","","","","","","","","","",""
