"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"*02ygs*","F","Andrew Agozzino","ANA","F","Min","30","ANA 3<br/>@MIN 4 F","1","0","1","1","1","0","2","0","0","2","1"
"*05kj5*","F","Thomas Bordeleau","SJS","F","Min","19","ARI 5<br/>@SJS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*03rfc*","F","Jeremy Bracco","CAR","F","Min","24","CAR 1<br/>@NSH 3 F","0","0","0","0","0","0","0","0","0","0","0"
"*04f8v*","F","Ivan Chekhovich","SJS","F","Min","22","ARI 5<br/>@SJS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*05k8f*","F","James Hardie","(N/A)","F","Min","19","","0","0","0","0","0","0","0","0","0","0","0"
"*042xr*","F","Patrick Harper","NSH","F","Min","23","CAR 1<br/>@NSH 3 F","0","0","0","0","0","0","0","0","0","0","0"
"*05oxr*","F","Alex Jefferies","NYI","F","Min","20","NJD 1<br/>@NYI 5 F","0","0","0","0","0","0","0","0","0","0","0"
"*04xob*","F","Brett Leason","WSH","F","Min","22","PHI 1<br/>@WSH 2 F","0","0","0","0","0","0","0","0","0","0","0"
"*04iwc*","F","Alex Limoges","ANA","F","Min","24","","0","0","0","0","0","0","0","0","0","0","0"
"*04qyp*","F","Blake McLaughlin","ANA","F","Min","21","","0","0","0","0","0","0","0","0","0","0","0"
"*05k9f*","F","Zion Nybeck","CAR","F","Min","19","CAR 1<br/>@NSH 3 F","0","0","0","0","0","0","0","0","0","0","0"
"*04qvd*","F","Jay O'Brien","PHI","F","Min","22","","0","0","0","0","0","0","0","0","0","0","0"
"*04yms*","F","Kasper Simontaival","LAK","F","Min","19","COL 3<br/>@LAK 2 F","0","0","0","0","0","0","0","0","0","0","0"
"*03as9*","F","Dylan Strome","CHI","F","Min","24","","7","1","1","2","-3","4","11","0","0","2","3"
"*048x2*","F","Matthew Strome","PHI","F","Min","22","PHI 1<br/>@WSH 2 F","0","0","0","0","0","0","0","0","0","0","0"
"*04gef*","F","Joel Teasdale","MTL","F","Min","22","MTL 2<br/>@TOR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"*04qze*","F","Tyler Weiss","COL","F","Min","21","","0","0","0","0","0","0","0","0","0","0","0"
"*05r3e*","F","Damir Zhafyarov","(N/A)","F","Min","27","","0","0","0","0","0","0","0","0","0","0","0"
"*01uo5*","D","Alex Biega","DET","D","Min","33","DET 4<br/>@CBJ 5 F","7","0","3","3","1","0","1","0","0","7","8"
"*031uw*","D","Kyle Burroughs","COL","D","Min","26","COL 3<br/>@LAK 2 F","4","0","1","1","1","5","2","0","0","8","2"
"*059dx*","D","Lukas Cormier","VGK","D","Min","19","STL 1<br/>@VGK 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*02odt*","D","Christian Djoos","DET","D","Min","27","DET 4<br/>@CBJ 5 F","3","0","1","1","-3","2","4","0","0","0","1"
"*04l8u*","D","Thomas Gregoire","SJS","D","Min","23","ARI 5<br/>@SJS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*04yu5*","D","Thomas Harley","DAL","D","Min","20","","0","0","0","0","0","0","0","0","0","0","0"
"*051m4*","D","Jackson LaCombe","ANA","D","Min","20","","0","0","0","0","0","0","0","0","0","0","0"
"*043c6*","D","Brinson Pasichnuk","SJS","D","Min","24","ARI 5<br/>@SJS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*04mmk*","D","Lawrence Pilut","BUF","D","Min","25","BUF 0<br/>@PIT 1 F","0","0","0","0","0","0","0","0","0","0","0"
"*04zot*","D","Matthew Robertson","NYR","D","Min","20","NYR 5<br/>@BOS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*042yr*","D","Jakob Stenqvist","DAL","D","Min","23","","0","0","0","0","0","0","0","0","0","0","0"
"*05no9*","D","Hugo Styf","(N/A)","D","Min","19","","0","0","0","0","0","0","0","0","0","0","0"
"*04ajn*","D","Marshall Warren","MIN","D","Min","20","","0","0","0","0","0","0","0","0","0","0","0"
"","Totals","","","","","","","","","","","","","","","","",""

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"*004pc*","G","Anton Khudobin","DAL","G","Act","35","","4","7","1.98","146",".918","0","0","0","0","0","0","0"
"*0457k*","G","Jake Oettinger","DAL","G","Res","22","","3","5","2.17","96",".906","0","2","0","0","0","0","0"
"*0055r*","G","Ben Bishop","DAL","G","IR","35","","0","0","0","0","0","0","0","0","0","0","0","0"
"*051ve*","G","Dominic Basse","CHI","G","Min","20","","0","0","0","0","0","0","0","0","0","0","0","0"
"*03lzf*","G","Landon Bow","DAL","G","Min","26","","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yf8*","G","Jack Lafontaine","CAR","G","Min","23","","0","0","0","0","0","0","0","0","0","0","0","0"
"*042xi*","G","Colton Point","DAL","G","Min","23","","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oy8*","G","Remi Poirier","DAL","G","Min","20","","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kyr*","G","Tomas Sholl","(N/A)","G","Min","27","","0","0","0","0","0","0","0","0","0","0","0","0"
"","Totals","","","","","","","0","227","1.82","287",".932","1","103","39","79","118","26","1"
