"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Alexander Khovanov","MIN","F","-","MIN 0<br/>@DAL 3 F","","","","","","","","","","",""
"F","Brian Pinho","WSH","F","-","NYI 3<br/>@WSH 0 F","","","","","","","","","","",""
"F","Andrew Shaw","MON","F","-","TOR 5<br/>@MON 6 F","","","","","","","","","","",""
"F","Ben Street","ANA","F","-","","","","","","","","","","","",""
"F","Tyler Vesel","EDM","F","-","EDM 3<br/>@CGY 1 F","","","","","","","","","","",""
"F","Sebastian Vidmar","(N/A)","F","-","","","","","","","","","","","",""
"F","Jakub Vrana","WSH","F","-","NYI 3<br/>@WSH 0 F","2","1","0","1","4","4","4","0","0","1","0"
"D","Karl Alzner","MON","D","-","TOR 5<br/>@MON 6 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Jalen Chatfield","VAN","D","-","VAN 2<br/>@STL 3 F","","","","","","","","","","",""
"D","Stefan Elliott","PIT/OTT","D","-","CBJ 6<br/>@OTT 2 F","","","","","","","","","","",""
"D","Olivier Galipeau","VGK","D","-","","","","","","","","","","","",""
"Totals","","","","","","1,350","267","455","722","66","672","2,679","173","19","1,621","1,110"

"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Anton Khudobin","DAL","G","Act","MIN 0<br/>@DAL 3 F","12","28","2.57","823",".924","2","2","0","0","0","0","0"
"G","Ben Bishop","DAL","G","IR","MIN 0<br/>@DAL 3 F","20","34","2.13","953",".931","3","2","0","1","1","0","0"
"G","Ken Appleby","WPG","G","Min","WPG 4<br/>@ARI 2 F","0","","","","","","","","","","",""
"G","Filip Gustavsson","OTT","G","Min","CBJ 6<br/>@OTT 2 F","0","","","","","","","","","","",""
"G","Samuel Harvey","(N/A)","G","Min","","0","","","","","","","","","","",""
"G","Jack Lafontaine","CAR","G","Min","","0","","","","","","","","","","",""
"G","Tommy Nappier","(N/A)","G","Min","","0","","","","","","","","","","",""
"G","Alex Nedeljkovic","CAR","G","Min","CAR 4<br/>@PHI 3 F","1","1","2.00","24",".923","0","0","0","0","0","0","0"
"G","Colton Point","DAL","G","Min","MIN 0<br/>@DAL 3 F","0","","","","","","","","","","",""
"G","Hunter Shepard","(N/A)","G","Min","","0","","","","","","","","","","",""
"G","Dustin Tokarski","NYR","G","Min","NYR 4<br/>@PIT 3 F","0","","","","","","","","","","",""
"G","Christoffer Hernberg","(N/A)","G","-","","0","","","","","","","","","","",""
"G","Kari Lehtonen","(N/A)","G","-","","0","","","","","","","","","","",""
"G","Anthony Peters","PIT","G","-","NYR 4<br/>@PIT 3 F","0","","","","","","","","","","",""
"Totals","","","","","","33","63","2.32","1,800",".927","5","4","0","1","1","0","0"
