"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"*04yu5*","D","Thomas Harley","DAL","D","Min","20","","","","","","","","","","","",""
"*051m4*","D","Jackson LaCombe","ANA","D","Min","20","","","","","","","","","","","",""
"*043c6*","D","Brinson Pasichnuk","SJS","D","Min","24","ARI 5<br/>@SJS 4 F","","","","","","","","","","",""
"*04mmk*","D","Lawrence Pilut","BUF","D","Min","25","BUF 0<br/>@PIT 1 F","","","","","","","","","","",""
"*04zot*","D","Matthew Robertson","NYR","D","Min","20","NYR 5<br/>@BOS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"*042yr*","D","Jakob Stenqvist","DAL","D","Min","23","","","","","","","","","","","",""
"*05no9*","D","Hugo Styf","(N/A)","D","Min","19","","","","","","","","","","","",""
"*04ajn*","D","Marshall Warren","MIN","D","Min","20","","","","","","","","","","","",""
"*04408*","F","Alex Barre-Boulet","TBL","F","-","24","TBL 1<br/>@FLA 5 F","","","","","","","","","","",""
"*039cg*","F","Sam Bennett","CGY/FLA","F","-","25","TBL 1<br/>@FLA 5 F","30","4","1","5","-16","17","53","0","0","61","13"
"*03kiw*","F","Robert Carpenter","NYI","F","-","25","NJD 1<br/>@NYI 5 F","","","","","","","","","","",""
"*0597v*","F","Thomas Casey","(N/A)","F","-","21","","","","","","","","","","","",""
"*03cyt*","F","Chase De Leo","ANA","F","-","26","ANA 3<br/>@MIN 4 F","","","","","","","","","","",""
"*038ke*","F","Jean-Sebastien Dea","BUF","F","-","27","BUF 0<br/>@PIT 1 F","0","0","0","0","0","0","0","0","0","0","0"
"*02oax*","F","Vinnie Hinostroza","FLA/CHI","F","-","27","","3","0","0","0","0","0","1","0","0","1","0"
"*05r00*","F","Matthew Kopperud","(N/A)","F","-","22","","","","","","","","","","","",""
"*04lcg*","F","Allan McShane","MTL","F","-","21","","","","","","","","","","","",""
"*03e7r*","F","John Quenneville","CHI","F","-","25","","","","","","","","","","","",""
"*0520u*","F","Grant Silianoff","(N/A)","F","-","20","","","","","","","","","","","",""
"*04w55*","F","Odeen Tufto","TBL","F","-","24","TBL 1<br/>@FLA 5 F","","","","","","","","","","",""
"*04xcf*","F","Jeffrey Viel","SJS","F","-","24","","","","","","","","","","","",""
"*05r3q*","F","Jeffrey Viel","SJS","F","-","24","ARI 5<br/>@SJS 4 F","","","","","","","","","","",""
"*04f8j*","F","Samuel Walker","TBL","F","-","22","","","","","","","","","","","",""
"*0320p*","F","Lucas Wallmark","CHI/FLA","F","-","26","TBL 1<br/>@FLA 5 F","6","0","3","3","1","2","3","2","1","8","0"
"*04r0a*","D","Declan Chisholm","WPG","D","-","21","OTT 4<br/>@WPG 2 F","","","","","","","","","","",""
"*042t3*","D","Dennis Cholowski","DET","D","-","23","DET 4<br/>@CBJ 5 F","","","","","","","","","","",""
"*01bvj*","D","Ryan McDonagh","TBL","D","-","32","TBL 1<br/>@FLA 5 F","33","2","6","8","9","12","51","0","0","44","66"
"*0392k*","D","Roland McKeown","CAR","D","-","25","","","","","","","","","","","",""
"","Totals","","","","","","","770","146","245","391","7","378","1,443","90","7","1,022","670"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"*004pc*","G","Anton Khudobin","DAL","G","Act","35","","7","19","2.46","425",".906","3","0","0","1","1","1","0"
"*0457k*","G","Jake Oettinger","DAL","G","Res","22","","6","15","2.36","396",".917","1","2","0","0","0","0","0"
"*0055r*","G","Ben Bishop","DAL","G","IR","35","","0","","","","","","","","","","",""
"*051ve*","G","Dominic Basse","CHI","G","Min","20","","0","","","","","","","","","","",""
"*03lzf*","G","Landon Bow","DAL","G","Min","26","","0","","","","","","","","","","",""
"*03yf8*","G","Jack Lafontaine","CAR","G","Min","23","","0","","","","","","","","","","",""
"*042xi*","G","Colton Point","DAL","G","Min","23","","0","","","","","","","","","","",""
"*05oy8*","G","Remi Poirier","DAL","G","Min","20","","0","","","","","","","","","","",""
"*04kyr*","G","Tomas Sholl","(N/A)","G","Min","27","","0","","","","","","","","","","",""
"*04atw*","G","Hunter Miska","COL","G","-","26","COL 3<br/>@LAK 2 F","0","1","3.99","29",".879","0","0","0","0","0","0","0"
"*039sy*","G","Alex Nedeljkovic","CAR","G","-","25","CAR 1<br/>@NSH 3 F","2","3","2.60","89",".918","0","2","0","0","0","0","0"
"","Totals","","","","","","","15","38","2.47","939",".911","4","4","0","1","1","1","0"
