"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Jamie Benn","DAL","F","Act","","26","7","17","24","-7","34","68","9","0","38","17"
"F","Bryan Bickell","CHI","F","Act","","18","4","6","10","4","16","28","0","0","43","6"
"F","Gabriel Dumont","MON","F","Act","","4","0","1","1","0","11","5","0","0","9","4"
"F","Ryan Garbutt","DAL","F","Act","","23","3","2","5","-2","20","31","0","0","41","5"
"F","Michael Grabner","NYI","F","Act","","25","7","2","9","-3","6","59","0","0","9","8"
"F","Saku Koivu","ANA","F","Act","","17","3","4","7","-2","8","16","3","0","15","4"
"F","Ryan Malone","TB","F","Act","","6","1","1","2","0","2","12","1","0","20","1"
"F","Milan Michalek","OTT","F","Act","OTT 4<br/>@BOS 2 F","6","0","4","4","1","0","11","2","1","3","3"
"F","John Mitchell","COL","F","Act","","26","5","6","11","2","10","40","1","0","52","20"
"F","Andrew Shaw","CHI","F","Act","","33","7","4","11","6","24","47","2","0","46","10"
"F","Jonathan Toews","CHI","F","Act","","33","16","16","32","16","21","94","5","2","16","12"
"F","Travis Zajac","NJ","F","Act","","35","5","8","13","-3","12","59","3","0","25","7"
"D","Jordie Benn","DAL","D","Act","","21","1","5","6","1","10","27","1","0","18","28"
"D","Trevor Daley","DAL","D","Act","","21","4","4","8","3","6","31","3","0","14","23"
"D","Drew Doughty","LA","D","Act","","34","1","13","14","0","24","81","6","0","92","37"
"D","Matt Hunwick","COL","D","Act","","27","0","5","5","2","14","38","0","0","29","39"
"D","Oliver Lauridsen","PHI","D","Act","","","","","","","","","","","",""
"D","Derek Morris","PHO","D","Act","","10","0","3","3","-3","10","13","0","0","25","22"
"F","Ryan Carter","NJ","F","Res","","18","3","5","8","-4","8","35","0","2","21","11"
"F","Craig Smith","NSH","F","Res","","15","3","4","7","-8","6","37","5","0","16","8"
"F","Reilly Smith","DAL","F","Res","","29","3","4","7","-1","6","30","0","0","13","5"
"F","Sean Bergenheim","FLA","F","IR","","","","","","","","","","","",""
"D","Braydon Coburn","PHI","D","IR","","16","0","1","1","-5","6","19","0","0","41","27"
"D","Tyler Myers","BUF","D","IR","","18","1","3","4","1","14","17","2","0","28","33"
"D","Bryce Salvador","NJ","D","IR","","33","0","2","2","-7","22","25","0","0","33","64"
"F","Brandon Alderson","PHI","F","Min","","","","","","","","","","","",""
"F","Connor Brown","OTT","F","Min","","","","","","","","","","","",""
"F","Daniel Catenacci","BUF","F","Min","","","","","","","","","","","",""
"F","Nick Drazenovic","CBJ","F","Min","","3","0","0","0","-1","2","2","0","0","5","0"
"F","Radek Faksa","DAL","F","Min","","","","","","","","","","","",""
"F","Alexander Fallstrom","BOS","F","Min","OTT 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Jimmy Hayes","CHI","F","Min","","6","1","1","2","-1","0","8","0","0","7","3"
"F","Kevin Hayes","PHI","F","Min","","","","","","","","","","","",""
"F","Bud Holloway","LA","F","Min","","","","","","","","","","","",""
"F","Linus Omark","(N/A)","F","Min","","","","","","","","","","","",""
"F","Buddy Robinson","OTT","F","Min","OTT 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Garret Ross","CHI","F","Min","","","","","","","","","","","",""
"F","Colton Sceviour","DAL","F","Min","","","","","","","","","","","",""
"F","Gemel Smith","TB","F","Min","","","","","","","","","","","",""
"F","Vincent Trocheck","FLA","F","Min","","","","","","","","","","","",""
"F","Jimmy Vesey","BUF","F","Min","","","","","","","","","","","",""
"D","Mike Boivin","(N/A)","D","Min","","","","","","","","","","","",""
"D","Travis Brown","MON","D","Min","","","","","","","","","","","",""
"D","John Klingberg","DAL","D","Min","","","","","","","","","","","",""
"D","Andrew MacWilliam","TOR","D","Min","","","","","","","","","","","",""
"D","Alex Roach","LA","D","Min","","","","","","","","","","","",""
"D","Troy Rutkowski","COL/OTT","D","Min","OTT 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Spencer Abbott","TOR","F","-","","","","","","","","","","","",""
"F","Andy Andreoff","LA","F","-","","","","","","","","","","","",""
"F","Keith Aucoin","NYI","F","-","","7","4","1","5","-1","2","10","1","0","7","3"
"F","Alexandre Bolduc","PHO","F","-","","7","0","0","0","-3","2","9","0","0","12","2"
"F","Dave Bolland","CHI","F","-","","6","2","1","3","1","0","10","0","0","4","3"
"F","Terry Broadhurst","CHI","F","-","","","","","","","","","","","",""
"F","Loui Eriksson","DAL","F","-","","7","3","1","4","-2","0","17","0","1","2","2"
"F","Danick Gauthier","TB","F","-","","","","","","","","","","","",""
"F","Darcy Hordichuk","EDM","F","-","","4","0","0","0","-1","2","0","0","0","6","0"
"F","Dwight King","LA","F","-","","16","0","3","3","2","6","22","0","0","18","3"
"F","Jamie Langenbrunner","STL","F","-","","2","0","0","0","0","0","3","0","0","4","0"
"F","Lane MacDermid","BOS/DAL","F","-","","1","0","0","0","0","0","0","0","0","1","0"
"F","Curtis McKenzie","DAL","F","-","","","","","","","","","","","",""
"F","Kris Newbury","NYR","F","-","","","","","","","","","","","",""
"F","Matt Pelech","SJ","F,D","-","","1","0","0","0","0","2","0","0","0","1","0"
"F","Anthony Peluso","WPG","F","-","","","","","","","","","","","",""
"F","Tom Pyatt","TB","F","-","","8","3","2","5","5","6","12","0","0","4","8"
