"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Matt Coronato","CGY","F","Act","","54","14","15","29","-22","16","134","10","0","11","17"
"F","Charlie Coyle","CBJ","F","Act","@NJD Tue 7:00PM","54","15","24","39","1","8","94","7","0","72","34"
"F","Kirby Dach","MTL","F","Act","","20","5","4","9","0","21","27","1","0","27","20"
"F","Lars Eller","OTT","F","Act","@CAR Tue 7:00PM","39","2","6","8","0","6","35","0","1","31","23"
"F","Ryan Hartman","MIN","F","Act","","51","14","11","25","1","27","100","6","0","42","72"
"F","Danton Heinen","CBJ","F","Act","@NJD Tue 7:00PM","22","2","2","4","-1","4","23","0","0","35","14"
"F","Konsta Helenius","BUF","F","Act","@TBL Tue 7:30PM","7","1","3","4","1","0","14","0","0","6","2"
"F","Philipp Kurashev","SJS","F","Act","","32","6","10","16","1","8","49","1","0","33","8"
"F","Alex Laferriere","LAK","F","Act","","54","13","13","26","7","12","126","1","2","151","32"
"F","Blake Lizotte","PIT","F","Act","@NYI Tue 7:30PM","45","6","11","17","10","21","42","0","0","39","25"
"F","Trevor Moore","LAK","F","Act","","41","5","8","13","-2","6","72","0","2","28","22"
"F","Vasily Podkolzin","EDM","F","Act","TOR Tue 8:30PM","56","12","11","23","13","44","85","0","0","163","29"
"D","Ryker Evans","SEA","D","Act","@ANA Tue 10:00PM","37","4","6","10","3","22","23","1","0","23","40"
"D","Mason Lohrei","BOS","D","Act","","43","6","15","21","7","12","44","5","0","23","54"
"D","Victor Mancini","VAN","D","Act","","6","0","0","0","-4","0","4","0","0","6","9"
"D","Nick Perbix","NSH","D","Act","","52","3","5","8","-14","14","53","0","0","24","54"
"D","Elias Pettersson","VAN","D","Act","","46","1","6","7","-7","14","24","0","0","83","54"
"D","Rasmus Sandin","WSH","D","Act","@PHI Tue 7:00PM","48","2","16","18","6","8","58","0","0","55","80"
"F","Kevin Stenlund","UTA","F","Res","","50","4","5","9","-8","18","43","0","2","27","39"
"D","Dmitri Simashev","UTA","D","Res","","22","0","1","1","-10","16","21","0","0","7","23"
"F","Conor Sheary","NYR","F","IR","","37","1","8","9","-4","8","55","2","0","17","25"
"F","Colton Sissons","VGK","F","IR","","40","3","3","6","-7","13","41","1","0","60","24"
"D","Derek Forbort","VAN","D","IR","","2","0","0","0","0","2","1","0","0","2","4"
"D","Nicolas Hague","NSH","D","IR","","39","2","8","10","-9","32","31","0","1","49","34"
"F","Tyler Boucher","OTT","F","Min","@CAR Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Jonathan Castagna","UTA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jake Chiasson","OTT","F","Min","@CAR Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Jared Davidson","MTL","F","Min","","9","0","1","1","-4","10","5","0","0","17","1"
"F","Alex Formenton","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brian Halonen","NJD","F","Min","CBJ Tue 7:00PM","8","1","0","1","0","5","3","0","0","13","2"
"F","Andre Lee","LAK","F","Min","","4","0","1","1","-2","0","3","0","0","12","2"
"F","Cameron Lund","SJS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Angus MacDonell","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brady Martin","NSH","F","Min","","1","0","0","0","0","0","2","0","0","0","1"
"F","Mason Moe","NJD","F","Min","CBJ Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Nico Myatovic","ANA","F","Min","SEA Tue 10:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Sam OReilly","TBL","F","Min","BUF Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Christopher Pelosi","BOS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Samuel Poulin","EDM","F","Min","TOR Tue 8:30PM","0","0","0","0","0","0","0","0","0","0","0"
