"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Denver Barkey","PHI","F","Act","WSH Tue 7:00PM","19","2","5","7","-4","12","20","2","0","13","9"
"F","Jonny Brodzinski","NYR","F","Act","","38","4","6","10","-5","10","37","0","0","28","17"
"F","Brendan Gallagher","MTL","F","Act","","55","5","10","15","-3","24","92","3","0","64","12"
"F","Nils Hoglander","VAN","F","Act","","18","0","2","2","1","6","18","0","0","28","4"
"F","Jack Hughes","NJD","F","Act","CBJ Tue 7:00PM","35","11","24","35","-6","0","125","13","0","3","16"
"F","Kent Johnson","CBJ","F","Act","@NJD Tue 7:00PM","53","6","12","18","-9","12","82","2","0","8","28"
"F","Dylan Larkin","DET","F","Act","","56","25","24","49","10","34","168","14","0","29","28"
"F","Steven Lorentz","TOR","F","Act","@EDM Tue 8:30PM","48","4","10","14","3","12","48","0","1","104","31"
"F","Taylor Makar","COL","F","Act","","5","0","0","0","1","4","1","0","0","5","1"
"F","Logan OConnor","COL","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Martin Pospisil","CGY","F","Act","","6","0","0","0","-4","4","7","0","0","26","1"
"F","Michael Rasmussen","DET","F","Act","","51","6","8","14","-3","8","52","0","1","52","44"
"D","Jacob Bryson","BUF","D","Act","@TBL Tue 7:30PM","33","2","3","5","0","8","11","0","0","9","20"
"D","Isaiah George","NYI","D","Act","PIT Tue 7:30PM","1","0","1","1","1","0","0","0","0","1","0"
"D","Daemon Hunt","MIN","D","Act","","17","0","3","3","-2","0","9","0","0","9","23"
"D","Charlie McAvoy","BOS","D","Act","","44","4","34","38","6","44","66","16","0","55","83"
"D","Jake Middleton","MIN","D","Act","","50","1","11","12","-2","57","41","0","0","66","72"
"D","Urho Vaakanainen","NYR","D","Act","","26","0","4","4","-2","14","20","0","0","9","20"
"D","Joel Hanley","CGY","D","Res","","47","0","7","7","-4","25","27","0","0","29","61"
"D","Isaak Phillips","WPG","D","Res","","1","0","0","0","0","0","2","0","0","0","1"
"F","Carson Meyer","BUF","F","IR","@TBL Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Nikita Artamonov","CAR","F","Min","OTT Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Filip Barklund","UTA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Lucas Elvenes","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mikkel Eriksen","NYR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Justin Ertel","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","James Hamblin","EDM","F","Min","TOR Tue 8:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Dylan James","DET","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ilya Kvochko","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Lynden Lakovic","WSH","F","Min","@PHI Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Jake Leschyshyn","BUF","F","Min","@TBL Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","David Lewandowski","EDM","F","Min","TOR Tue 8:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Alex Limoges","WSH","F","Min","@PHI Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Cayden Lindstrom","CBJ","F","Min","@NJD Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Eetu Liukas","NYI","F","Min","PIT Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Olle Lycksell","OTT","F","Min","@CAR Tue 7:00PM","1","0","1","1","0","0","1","0","0","2","1"
"F","Aidan McDonough","PIT","F","Min","@NYI Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Alexander Nylander","TOR","F","Min","@EDM Tue 8:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Erik Pahlsson","NSH","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Zam Plante","PIT","F","Min","@NYI Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Daniil Prokhorov","NYI","F","Min","PIT Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Anthony Romani","VAN","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Zach Sanford","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Anton Wahlberg","BUF","F","Min","@TBL Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Brayden Yager","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","David Bedkowski","BUF","D","Min","@TBL Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"D","Calvin de Haan","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Paul Fischer","EDM","D","Min","TOR Tue 8:30PM","0","0","0","0","0","0","0","0","0","0","0"
"D","Michael Fisher","SJS","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Evgeni Kashnikov","SJS","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Adam Kleber","BUF","D","Min","@TBL Tue 7:30PM","0","0","0","0","0","0","0","0","0","0","0"
"D","Kevin Korchinski","CHI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Axel Landen","SJS","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nick Leddy","SJS","D","Min","","18","0","3","3","-10","6","6","0","0","2","26"
"D","Simon Lundmark","TBL","D","Min","BUF Tue 7:30PM","1","0","0","0","1","0","1","0","0","2","2"
"D","Chase Priskie","MIN","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Corey Schueneman","WSH","D","Min","@PHI Tue 7:00PM","0","0","0","0","0","0","0","0","0","0","0"
"D","Ty Smith","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Sebastian Soini","MIN","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Saige Weinstein","COL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Wyatte Wylie","MTL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Conor Geekie","TBL","F","-","BUF Tue 7:30PM","6","0","1","1","0","4","5","0","0","15","5"
"F","Mike Hoffman","(N/A)","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Bobby McMann","TOR","F","-","@EDM Tue 8:30PM","16","3","3","6","2","13","23","0","0","43","8"
"Totals","","","","","","645","73","172","245","-29","297","862","50","2","602","513"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W-G","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Lukas Dostal","ANA","G","Act","SEA Tue 10:00PM","17","10","3.11","395",".890","0","0","0","0","0","0","0"
"G","John Gibson","DET","G","Res","","21","14","2.38","497",".910","2","0","0","1","1","0","0"
"G","Akira Schmid","VGK","G","Res","","11","4","2.61","228",".887","1","0","0","0","0","0","0"
"G","Kirill Gerasimyuk","FLA","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Burke Hood","NYI","G","Min","PIT Tue 7:30PM","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Vadim Zherenko","STL","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Eric Comrie","WPG","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"Totals","","","","","","49","28","2.67","1,120",".898","3","0","0","1","1","0","0"
