"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Lawson Crouse","ARI","F","Act","","55","3","5","8","-14","46","57","0","0","123","22"
"F","Matt Cullen","PIT","F","Act","PIT 2<br/>@NYR 3 F","56","10","12","22","5","16","68","3","1","28","22"
"F","Nikolaj Ehlers","WPG","F","Act","","65","21","31","52","1","28","157","10","0","39","17"
"F","Jesper Fast","NYR","F","Act","PIT 2<br/>@NYR 3 F","58","5","15","20","10","16","51","0","0","87","31"
"F","Jimmy Hayes","BOS","F","Act","","49","2","3","5","-2","29","68","0","0","69","10"
"F","Darren Helm","DET","F","Act","NJD 1<br/>@DET 4 F","35","8","5","13","2","14","69","4","1","48","14"
"F","Calle Jarnkrok","NSH","F","Act","","65","13","11","24","-9","17","106","4","2","41","21"
"F","Marcus Johansson","WSH","F","Act","FLA 2<br/>@WSH 0 F","62","21","21","42","16","10","98","12","0","24","18"
"F","Chris Kelly","OTT","F","Act","OTT 2<br/>@NYI 4 F","62","4","6","10","-13","16","67","0","1","54","36"
"F","Anthony Mantha","DET","F","Act","NJD 1<br/>@DET 4 F","48","14","19","33","14","31","113","3","0","40","31"
"F","Brayden Point","TBL","F","Act","BUF 2<br/>@TBL 4 F","47","8","14","22","0","10","73","8","0","18","18"
"F","Alexander Steen","STL","F","Act","COL 2<br/>@STL 3 F","58","12","27","39","-10","41","85","13","0","26","51"
"D","Brandon Carlo","BOS","D","Act","","65","6","9","15","3","45","78","0","1","66","90"
"D","Christian Folin","MIN","D","Act","","42","2","4","6","7","24","33","0","0","62","53"
"D","Korbinian Holzer","ANA","D","Act","LAK 3<br/>@ANA 4 F","14","0","0","0","-5","10","7","0","0","28","12"
"D","Greg Pateryn","MTL/DAL","D","Act","","21","1","6","7","-2","2","20","0","0","35","39"
"D","Alex Pietrangelo","STL","D","Act","COL 2<br/>@STL 3 F","63","9","23","32","-8","20","131","13","0","34","127"
"D","Ryan Sproul","DET","D","Act","NJD 1<br/>@DET 4 F","17","0","2","2","-5","6","27","0","0","6","10"
"D","Alexei Bereglazov","NYR","D","Res","PIT 2<br/>@NYR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Hampus Lindholm","ANA","D","Res","LAK 3<br/>@ANA 4 F","50","5","8","13","8","28","75","4","0","77","67"
"D","Alec Martinez","LAK","D","Res","LAK 3<br/>@ANA 4 F","64","8","24","32","-15","20","116","10","1","111","131"
"D","Matt Greene","LAK","D","IR","LAK 3<br/>@ANA 4 F","18","1","0","1","-4","15","11","0","0","48","21"
"F","Joey Anderson","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jonathan Ang","FLA","F","Min","FLA 2<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Rasmus Asplund","FLA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Travis Barron","COL","F","Min","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Anton Blidh","BOS","F","Min","","10","0","0","0","-4","7","6","0","0","20","3"
"F","David Cotton","SEA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Christopher DiDomenico","OTT","F","Min","OTT 2<br/>@NYI 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Markus Eisenschmid","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Giorgio Estephan","BUF","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Joseph Gambardella","EDM","F","Min","VAN 2<br/>@EDM 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Adam Gaudette","SJS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Adam Helewka","SJS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Pavel Jenys","MIN","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tyson Jost","COL","F","Min","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tanner Laczynski","VGK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matt Luff","LAK","F","Min","LAK 3<br/>@ANA 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Beck Malenstyn","WSH","F","Min","FLA 2<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tyler Motte","CHI","F","Min","","29","4","1","5","2","14","42","0","0","21","19"
"F","Brett Murray","PIT","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Chase Pearson","DET","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Anthony Salinitri","PHI","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Spencer Smallman","CAR","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Sam Steel","ANA","F","Min","LAK 3<br/>@ANA 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tim Wahlgren","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Valentin Zykov","CAR","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Kale Clague","LAK","D","Min","LAK 3<br/>@ANA 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Stephen Desrocher","TOR","D","Min","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Vince Dunn","STL","D","Min","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Luke Green","WPG","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Filip Hronek","DET","D","Min","NJD 1<br/>@DET 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Anton Lindholm","COL","D","Min","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Evan McEneny","VAN","D","Min","VAN 2<br/>@EDM 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Victor Mete","MTL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nelson Nogier","WPG","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Robin Norell","CHI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Tate Olson","VAN","D","Min","VAN 2<br/>@EDM 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Thomas Parisi","MTL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Rinat Valiev","TOR","D","Min","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Hunter Warner","MIN","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Josh Wesley","CAR","D","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Reece Willcox","PHI","D","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Sven Andrighetto","MTL/COL","F","-","COL 2<br/>@STL 3 F","1","0","0","0","-1","0","1","0","0","0","0"
"F","Joe Colborne","COL","F","-","COL 2<br/>@STL 3 F","1","3","0","3","0","0","4","2","0","1","1"
"F","Jean-Sebastien Dea","PIT","F","-","PIT 2<br/>@NYR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Seth Griffith","TOR/FLA","F","-","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Mason Raymond","ANA","F","-","","3","0","0","0","-2","0","3","0","0","3","0"
"F","Anthony Richard","NSH","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brett Seney","CHI","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Colin Miller","BOS","D","-","","42","4","4","8","-6","28","63","2","0","52","24"
"D","Jack Sadek","(N/A)","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","1,100","164","250","414","-32","493","1,629","88","7","1,161","888"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W-G","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Antti Raanta","NYR","G","Act","PIT 2<br/>@NYR 3 F","20","12",".00","474",".000","2","0","0","1","1","1","0"
"G","Andrew Hammond","OTT","G","Res","OTT 2<br/>@NYI 4 F","3","0",".00","32",".000","0","0","0","0","0","0","0"
"G","Luke Opilka","STL","G","Min","COL 2<br/>@STL 3 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Karel Vejmelka","UTA","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Kristian Oldham","TBL","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Malcolm Subban","BOS","G","-","","1","0",".00","13",".000","0","0","0","0","0","0","0"
"Totals","","","","","","24","12","999963.00","519",".000","2","0","0","1","1","1","0"
