"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Brandon Bollig","CHI","F","Act","","68","7","7","14","5","69","92","0","0","156","20"
"F","Alexandre Burrows","VAN","F","Act","CGY 1<br/>@VAN 5 F","37","3","8","11","-11","45","88","5","0","62","28"
"F","Paul Byron","CGY","F","Act","CGY 1<br/>@VAN 5 F","29","3","8","11","-1","10","23","2","2","32","4"
"F","B.J. Crombeen","TBL","F","Act","TBL 1<br/>@WSH 0 F","48","3","7","10","2","74","50","0","1","51","14"
"F","Patrik Elias","NJD","F","Act","BOS 2<br/>@NJD 3 F","53","15","29","44","-5","24","94","16","5","22","18"
"F","Boyd Gordon","EDM","F","Act","","63","8","13","21","-9","14","68","4","2","23","84"
"F","Markus Granlund","CGY","F","Act","CGY 1<br/>@VAN 5 F","7","2","1","3","2","0","9","0","1","3","1"
"F","Milan Michalek","OTT","F","Act","OTT 3<br/>@PIT 2 F","67","11","19","30","-21","29","133","7","0","64","25"
"F","Brenden Morrow","STL","F","Act","DET 3<br/>@STL 0 F","60","10","11","21","3","48","45","5","0","84","16"
"F","Magnus Paajarvi","STL","F","Act","DET 3<br/>@STL 0 F","43","6","6","12","-1","4","50","0","0","21","18"
"F","Nate Thompson","TBL","F","Act","TBL 1<br/>@WSH 0 F","66","9","6","15","6","23","91","0","2","94","36"
"F","Henrik Zetterberg","DET","F","Act","DET 3<br/>@STL 0 F","45","16","32","48","19","20","151","17","0","23","15"
"D","Tom Gilbert","FLA","D","Act","","63","3","23","26","-4","18","86","6","0","47","81"
"D","Dan Hamhuis","VAN","D","Act","CGY 1<br/>@VAN 5 F","68","5","12","17","10","24","140","3","0","74","117"
"D","Sami Salo","TBL","D","Act","TBL 1<br/>@WSH 0 F","43","1","8","9","10","10","42","3","0","32","43"
"D","Mark Streit","PHI","D","Act","CAR 6<br/>@PHI 5 F","60","8","19","27","-6","34","92","10","0","29","77"
"D","Ryan Suter","MIN","D","Act","NSH 7<br/>@MIN 3 F","67","6","30","36","6","26","124","14","1","55","118"
"D","Dennis Wideman","CGY","D","Act","CGY 1<br/>@VAN 5 F","42","3","15","18","-14","18","91","2","1","54","73"
"F","Zach Boychuk","CAR","F","Res","CAR 6<br/>@PHI 5 F","7","1","3","4","2","0","8","0","0","9","1"
"F","Trevor Smith","TOR","F","Res","","22","3","5","8","-3","4","20","1","0","41","15"
"D","Jonathan Ericsson","DET","D","Res","DET 3<br/>@STL 0 F","37","1","9","10","3","28","48","0","1","72","36"
"F","Cody Almond","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matt Anderson","TOR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Sven Andrighetto","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Olivier Archambault","MIN","F","Min","NSH 7<br/>@MIN 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Andrew Crescenzi","TOR/LAK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Dominik Kahun","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jani Lajunen","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tyler Motte","FLA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mika Partanen","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matej Paulovic","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Lennart Petrell","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Kirill Petrov","NYI","F","Min","NYI 4<br/>@BUF 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Borna Rendulic","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jared Staal","CAR","F","Min","CAR 6<br/>@PHI 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Maxime Tanguay","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Simon Bertilsson","PHI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Madison Bowey","WSH","D","Min","TBL 1<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Joe Finley","NYI","D","Min","NYI 4<br/>@BUF 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Nick Jensen","DET","D","Min","DET 3<br/>@STL 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Oliver Lauridsen","PHI","D","Min","CAR 6<br/>@PHI 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Esa Lindell","DAL","D","Min","DAL 1<br/>@PHO 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Alexandre Picard","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Robin Press","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
