"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Nicklas Backstrom","WSH","F","Act","FLA 2<br/>@WSH 0 F","4","1","2","3","-2","4","13","1","0","0","0"
"F","Andre Burakovsky","WSH","F","Act","FLA 2<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Daniel Carr","MTL","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Robby Fabbri","STL","F","Act","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Zach Hyman","TOR","F","Act","CBJ 3<br/>@TOR 2 F","3","0","0","0","-3","0","7","0","0","2","5"
"F","Trevor Lewis","LAK","F","Act","LAK 3<br/>@ANA 4 F","2","0","0","0","1","0","0","0","0","4","0"
"F","Jared McCann","FLA","F","Act","FLA 2<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Connor McDavid","EDM","F","Act","VAN 2<br/>@EDM 5 F","3","1","0","1","-5","0","13","1","0","2","1"
"F","Vladislav Namestnikov","TBL","F","Act","BUF 2<br/>@TBL 4 F","2","0","0","0","1","0","3","0","0","2","0"
"F","William Nylander","TOR","F","Act","CBJ 3<br/>@TOR 2 F","3","1","2","3","1","0","7","1","0","1","1"
"F","Antoine Roussel","DAL","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tim Schaller","BOS","F","Act","","2","0","0","0","0","0","1","0","0","0","0"
"D","Tyson Barrie","COL","D","Act","COL 2<br/>@STL 3 F","3","1","3","4","-2","0","6","1","0","2","3"
"D","Nathan Beaulieu","MTL","D","Act","","3","0","0","0","0","0","4","0","0","2","3"
"D","Connor Carrick","TOR","D","Act","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Cody Ceci","OTT","D","Act","OTT 2<br/>@NYI 4 F","4","1","1","2","1","0","5","1","0","8","10"
"D","Ian Cole","PIT","D","Act","PIT 2<br/>@NYR 3 F","3","1","0","1","4","2","2","0","0","6","6"
