"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","NSH","F","Act","","15","1","3","4","-7","4","44","1","0","7","15"
"F","Jamie Benn","DAL","F","Act","","15","9","8","17","1","8","39","8","0","29","12"
"F","Sam Bennett","CGY","F","Act","","12","3","0","3","-7","8","23","0","0","9","9"
"F","Derick Brassard","NYR","F","Act","","15","4","6","10","1","10","34","5","0","23","6"
"F","Alex Chiasson","OTT","F","Act","","14","3","0","3","-2","9","16","0","1","18","6"
"F","Logan Couture","SJ","F","Act","","18","7","4","11","-5","8","48","5","0","9","15"
"F","Radek Faksa","DAL","F","Act","","8","1","2","3","1","2","11","1","0","6","4"
"F","Patrick Marleau","SJ","F","Act","","18","6","3","9","-7","2","54","5","1","11","9"
"F","Nic Petan","WPG","F","Act","","3","0","1","1","1","0","3","0","0","1","1"
"F","Conor Sheary","PIT","F","Act","","5","1","1","2","2","2","6","0","0","1","0"
"F","Reilly Smith","FLA","F","Act","","17","4","7","11","9","19","43","1","0","13","6"
"F","Blake Wheeler","WPG","F","Act","","17","8","11","19","7","8","56","1","0","28","12"
"D","Karl Alzner","WSH","D","Act","ANA 2<br/>@WSH 0 F","17","0","1","1","-2","4","16","0","0","38","43"
"D","Brian Campbell","FLA","D","Act","","17","0","5","5","9","8","18","0","0","7","28"
"D","Oliver Ekman-Larsson","ARI","D","Act","","10","2","4","6","6","22","23","0","0","12","10"
"D","Ben Lovejoy","PIT","D","Act","","4","0","0","0","0","4","8","0","0","16","6"
"D","Andrew MacDonald","PHI","D","Act","PHI 5<br/>@NYI 2 F","12","0","5","5","5","2","2","2","0","5","37"
"D","Jake Muzzin","LA","D","Act","","18","1","5","6","-1","14","39","1","0","41","38"
"F","Jonathan Toews","CHI","F","Res","","14","4","7","11","-2","16","26","1","2","13","13"
"D","Deryk Engelland","CGY","D","Res","","6","2","1","3","6","4","8","0","0","4","6"
"D","Casey Nelson","BUF","D","Res","","1","0","0","0","0","4","1","0","0","0","1"
"F","Martin Hanzal","ARI","F","IR","","12","3","6","9","0","21","28","4","1","22","1"
"F","Jimmy Hayes","BOS","F","IR","","11","0","0","0","-6","15","17","0","0","20","1"
"F","Andrew Shaw","CHI","F","IR","","11","3","0","3","-2","18","27","0","0","19","2"
"F","Vincent Trocheck","FLA","F","IR","","11","6","7","13","11","8","29","1","1","24","8"
"F","Kyle Turris","OTT","F","IR","","","","","","","","","","","",""
"D","Travis Hamonic","NYI","D","IR","PHI 5<br/>@NYI 2 F","13","0","3","3","-5","2","18","0","0","18","28"
"D","Ryan McDonagh","NYR","D","IR","","13","1","2","3","9","2","12","0","0","18","25"
"F","Jeremy Bracco","TOR","F","Min","","","","","","","","","","","",""
"F","Alex Broadhurst","CBJ","F","Min","","","","","","","","","","","",""
"F","Connor Brown","TOR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Bobo Carpenter","NYI","F","Min","PHI 5<br/>@NYI 2 F","","","","","","","","","","",""
"F","Sam Carrick","TOR","F","Min","","","","","","","","","","","",""
