"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Lias Andersson","NYR","F","Act","NYR 4<br/>@PIT 3 F","30","1","3","4","-12","8","25","0","0","51","8"
"F","Nick Bonino","NSH","F","Act","CHI 2<br/>@NSH 5 F","75","15","16","31","27","18","108","3","1","24","66"
"F","Anthony Cirelli","TBL","F","Act","TBL 6<br/>@BOS 3 F","76","17","19","36","24","29","116","1","6","86","45"
"F","Blake Comeau","DAL","F","Act","MIN 0<br/>@DAL 3 F","70","6","10","16","-7","38","84","0","0","194","39"
"F","Pierre-Luc Dubois","CBJ","F","Act","CBJ 6<br/>@OTT 2 F","75","24","32","56","10","60","162","9","0","103","50"
"F","Barclay Goodrow","SJS","F","Act","COL 2<br/>@SJS 5 F","75","7","9","16","4","71","75","0","1","117","60"
"F","Mathieu Joseph","TBL","F","Act","TBL 6<br/>@BOS 3 F","65","13","11","24","6","24","87","0","2","114","14"
"F","Brock McGinn","CAR","F","Act","CAR 4<br/>@PHI 3 F","75","9","13","22","7","20","113","0","1","130","35"
"F","Evan Rodrigues","BUF","F","Act","BUF 7<br/>@DET 1 F","66","9","18","27","-8","25","152","4","3","31","28"
"F","Dylan Strome","ARI/CHI","F","Act","CHI 2<br/>@NSH 5 F","71","17","33","50","-9","18","131","15","0","13","43"
"F","Jake Virtanen","VAN","F","Act","VAN 2<br/>@STL 3 F","66","14","10","24","-4","42","147","2","0","141","35"
"F","Dale Weise","PHI/MTL","F","Act","TOR 5<br/>@MTL 6 F","50","5","6","11","-7","19","57","0","1","83","21"
"D","Matt Donovan","NSH","D","Act","CHI 2<br/>@NSH 5 F","2","0","1","1","0","2","1","0","0","0","3"
"D","Mattias Ekholm","NSH","D","Act","CHI 2<br/>@NSH 5 F","74","8","34","42","20","43","138","7","1","64","101"
"D","Thomas Hickey","NYI","D","Act","NYI 3<br/>@WSH 0 F","39","0","4","4","5","29","45","0","1","40","68"
"D","Steven Kampfer","BOS","D","Act","TBL 6<br/>@BOS 3 F","30","3","1","4","-7","22","36","2","0","38","28"
"D","Andrew MacDonald","PHI","D","Act","CAR 4<br/>@PHI 3 F","41","0","9","9","-4","14","34","0","2","23","86"
"D","Jake McCabe","BUF","D","Act","BUF 7<br/>@DET 1 F","55","4","10","14","-7","35","59","0","1","96","95"
"F","Mark Letestu","CBJ","F","Res","CBJ 6<br/>@OTT 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jack Rodewald","OTT","F","Res","CBJ 6<br/>@OTT 2 F","4","0","0","0","0","0","1","0","0","5","2"
"D","Noah Juulsen","MTL","D","IR","TOR 5<br/>@MTL 6 F","19","1","3","4","6","2","19","0","0","54","37"
"F","Michael Bournival","TBL","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Alex Broadhurst","CBJ/WPG","F","Min","WPG 4<br/>@ARI 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Mathias Brome","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ross Colton","TBL","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Alex Dostie","ANA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Kevin Hancock","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matthew Highmore","CHI","F","Min","CHI 2<br/>@NSH 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Marcus Karlberg","CBJ","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Cole Koepke","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Keegan Kolesar","VGK","F","Min","VGK 2<br/>@LAK 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Mathias Laferriere","STL","F","Min","VAN 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ryan Lohin","TBL","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Skyler McKenzie","WPG","F","Min","WPG 4<br/>@ARI 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Mark McNeill","BOS","F","Min","TBL 6<br/>@BOS 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Andrej Nestrasil","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Andrew Oglevie","BUF","F","Min","BUF 7<br/>@DET 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Oula Palve","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Emile Poirier","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Kevin Porter","BUF","F","Min","BUF 7<br/>@DET 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ben Thomson","ANA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mike Vecchione","PHI","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Oliver Wahlstrom","NYI","F","Min","NYI 3<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Joseph Cecconi","DAL","D","Min","MIN 0<br/>@DAL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Jake Dotchin","ANA","D","Min","","19","0","1","1","-4","39","6","0","1","48","16"
"D","Lucas Johansen","WSH","D","Min","NYI 3<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","John Marino","UTA","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nick Perbix","NSH","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Mitch Reinke","STL","D","Min","VAN 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Tarmo Reunanen","CAR","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
