"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Nick Bonino","PIT","F","Act","PIT 2<br/>@NYR 3 F","63","9","16","25","-4","14","104","6","1","52","82"
"F","Lance Bouma","CGY","F","Act","","46","3","3","6","0","26","41","0","0","101","34"
"F","Blake Comeau","COL","F","Act","COL 2<br/>@STL 3 F","60","8","6","14","-17","52","85","2","1","103","20"
"F","Freddie Hamilton","CGY","F","Act","","22","1","0","1","-2","6","24","0","0","38","1"
"F","Tanner Kero","CHI","F","Act","","28","5","6","11","13","4","30","0","0","27","31"
"F","Mark Letestu","EDM","F","Act","VAN 2<br/>@EDM 5 F","62","13","17","30","2","15","95","10","3","58","27"
"F","Andrej Nestrasil","CAR","F","Act","CAR 4<br/>@PHI 3 F","19","1","4","5","-3","2","27","0","0","10","6"
"F","Shane Prince","NYI","F","Act","OTT 2<br/>@NYI 4 F","44","3","10","13","-8","16","58","1","0","30","11"
"F","Ben Smith","COL/TOR","F","Act","CBJ 3<br/>@TOR 2 F","31","2","2","4","-1","4","27","0","0","27","36"
"F","Shawn Thornton","FLA","F","Act","FLA 2<br/>@WSH 0 F","37","1","2","3","-6","60","25","0","0","35","6"
"F","Jake Virtanen","VAN","F","Act","VAN 2<br/>@EDM 5 F","10","0","1","1","1","2","13","0","0","17","4"
"F","Dale Weise","PHI","F","Act","CAR 4<br/>@PHI 3 F","50","2","3","5","-8","17","64","2","0","102","17"
"D","Jake Dotchin","TBL","D","Act","BUF 2<br/>@TBL 4 F","10","0","3","3","2","13","11","0","0","22","4"
"D","Thomas Hickey","NYI","D","Act","OTT 2<br/>@NYI 4 F","61","3","11","14","-3","21","74","2","0","80","92"
"D","Brett Kulak","CGY","D","Act","","21","0","3","3","-3","12","19","0","0","14","13"
"D","Andrew MacDonald","PHI","D","Act","CAR 4<br/>@PHI 3 F","55","2","13","15","-5","18","49","0","1","26","121"
"D","Jamie Oleksiak","DAL","D","Act","","24","5","2","7","3","26","22","0","1","35","30"
"D","Kyle Quincey","NJD/CBJ","D","Act","CBJ 3<br/>@TOR 2 F","56","4","8","12","3","41","64","0","0","79","71"
"F","Barclay Goodrow","SJS","F","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","Dylan Strome","ARI","F","Res","","7","0","1","1","-5","0","6","0","0","3","2"
"D","Simon Bourque","MTL","D","Res","","0","0","0","0","0","0","0","0","0","0","0"
"D","Chris Martenet","DAL","D","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","David Clarkson","CBJ","F","IR","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Conner Bleackley","STL","F","Min","COL 2<br/>@STL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ross Colton","COL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Cam Darcy","TBL","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Cristiano Digiacinto","TBL","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Alex Dostie","ANA","F","Min","LAK 3<br/>@ANA 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Pierre-Luc Dubois","CBJ","F","Min","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Max Friberg","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mike Halmo","TBL","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Matthew Highmore","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mathieu Joseph","TBL","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Dakota Joshua","TOR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Vaclav Karabacek","BUF","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Keegan Kolesar","CBJ","F","Min","CBJ 3<br/>@TOR 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ryan Lohin","NYR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mark McNeill","CHI/DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mitch Moroz","EDM/ARI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Nathan Noel","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Emile Poirier","CGY","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Kevin Porter","PIT","F","Min","PIT 2<br/>@NYR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Evan Rodrigues","BUF","F","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ben Thomson","NJD","F","Min","NJD 1<br/>@DET 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Mike Vecchione","PHI","F","Min","CAR 4<br/>@PHI 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Dylan Blujus","TBL","D","Min","BUF 2<br/>@TBL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Daniel Brickley","LAK","D","Min","LAK 3<br/>@ANA 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Joseph Cecconi","LAK","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","James De Haas","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Lucas Johansen","WSH","D","Min","FLA 2<br/>@WSH 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Noah Juulsen","MTL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
