"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Sam Bennett","CGY/FLA","F","Act","TBL 1<br/>@FLA 5 F","2","0","2","2","2","2","2","0","0","2","2"
"F","Nick Bonino","MIN","F","Act","ANA 3<br/>@MIN 4 F","34","3","4","7","-4","8","43","1","0","4","36"
"F","Anthony Cirelli","TBL","F","Act","TBL 1<br/>@FLA 5 F","31","8","11","19","4","8","52","4","1","42","25"
"F","Ross Colton","TBL","F","Act","TBL 1<br/>@FLA 5 F","12","4","3","7","6","2","14","0","0","19","3"
"F","Blake Comeau","DAL","F","Act","","29","1","8","9","3","10","39","0","1","57","9"
"F","Chase De Leo","ANA","F","Act","ANA 3<br/>@MIN 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Pierre-Luc Dubois","CBJ/WPG","F","Act","OTT 4<br/>@WPG 2 F","27","5","7","12","-3","14","47","2","0","36","17"
"F","Matthew Highmore","CHI/VAN","F","Act","VAN 3<br/>@EDM 4 F","22","0","2","2","-5","6","19","0","0","19","8"
"F","Keegan Kolesar","VGK","F","Act","STL 1<br/>@VGK 4 F","30","1","6","7","-1","30","33","0","0","71","8"
"F","Mathieu Perreault","WPG","F","Act","OTT 4<br/>@WPG 2 F","27","6","5","11","7","10","31","2","0","34","11"
"F","Evan Rodrigues","PIT","F","Act","BUF 0<br/>@PIT 1 F","21","4","4","8","1","2","41","0","0","15","4"
"F","Oliver Wahlstrom","NYI","F","Act","NJD 1<br/>@NYI 5 F","31","9","7","16","4","17","64","7","0","36","11"
"D","Andreas Borgman","TBL","D","Act","TBL 1<br/>@FLA 5 F","2","0","1","1","0","0","3","0","0","3","0"
"D","Will Butcher","NJD","D","Act","NJD 1<br/>@NYI 5 F","7","0","2","2","-2","0","12","0","0","3","10"
"D","Mattias Ekholm","NSH","D","Act","CAR 1<br/>@NSH 3 F","30","3","10","13","6","4","70","2","1","14","34"
"D","Thomas Hickey","NYI","D","Act","NJD 1<br/>@NYI 5 F","3","0","0","0","2","0","1","0","0","6","2"
