"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Paul Cotter","NJD","F","Act","","3","1","0","1","-1","0","2","0","0","9","0"
"F","Dylan Cozens","BUF/OTT","F","Act","CAR 5<br/>@OTT 7 F","3","1","2","3","-3","2","7","1","0","8","1"
"F","Frederick Gaudreau","MIN","F","Act","","3","1","1","2","3","0","4","0","0","2","2"
"F","Gage Goncalves","TBL","F","Act","TBL 0<br/>@NYR 4 F","3","0","1","1","-1","0","1","0","0","6","1"
"F","Mikael Granlund","SJS/DAL","F","Act","","3","2","1","3","3","0","6","0","0","3","5"
"F","Emil Heineman","MTL","F","Act","","3","0","1","1","2","0","2","1","0","12","0"
"F","Brett Howden","VGK","F","Act","","3","1","1","2","2","9","2","0","0","1","0"
"F","Zack Ostapchuk","OTT/SJS","F","Act","","1","0","0","0","-1","2","0","0","0","1","0"
"F","Shane Pinto","OTT","F","Act","CAR 5<br/>@OTT 7 F","3","0","0","0","-3","6","3","0","0","2","1"
"F","Sam Reinhart","FLA","F","Act","","3","2","1","3","-2","0","11","2","0","6","0"
"F","Juraj Slafkovsky","MTL","F","Act","","3","2","0","2","0","6","13","0","0","5","2"
"F","Tim Stutzle","OTT","F","Act","CAR 5<br/>@OTT 7 F","3","0","2","2","-2","0","0","1","0","5","0"
"D","Erik Brannstrom","COL/VAN/NYR/BUF","D","Act","PHI 4<br/>@BUF 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Ethan Del Mastro","CHI","D","Act","","4","0","0","0","-4","4","5","0","0","9","4"
"D","Erik Gustafsson","DET","D","Act","DET 3<br/>@TOR 4 F","1","0","0","0","-2","0","0","0","0","0","0"
"D","Pierre-Olivier Joseph","STL/PIT","D","Act","WSH 2<br/>@PIT 5 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Olli Maatta","DET/UTA","D","Act","","3","0","0","0","-4","0","3","0","0","3","3"
"D","Sean Walker","CAR","D","Act","CAR 5<br/>@OTT 7 F","3","1","0","1","-2","4","6","0","0","0","2"
"F","Mikael Backlund","CGY","F","Res","CGY 5<br/>@LAK 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Christian Fischer","DET/CBJ","F","Res","NYI 1<br/>@CBJ 6 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Vinni Lettieri","BOS","F","Res","","4","0","0","0","-4","0","5","0","0","11","2"
