"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Paul Cotter","NJD","F","Act","","67","14","6","20","-10","47","77","0","0","211","27"
"F","Dylan Cozens","BUF/OTT","F","Act","CAR 5<br/>@OTT 7 F","66","13","22","35","-8","62","152","5","0","171","41"
"F","Frederick Gaudreau","MIN","F","Act","","67","15","15","30","2","6","92","4","0","34","48"
"F","Gage Goncalves","TBL","F","Act","TBL 0<br/>@NYR 4 F","31","4","6","10","3","6","28","1","0","30","12"
"F","Mikael Granlund","SJS/DAL","F","Act","","67","16","38","54","-4","26","145","16","1","46","49"
"F","Emil Heineman","MTL","F","Act","","49","9","7","16","-3","14","51","3","0","127","19"
"F","Brett Howden","VGK","F","Act","","65","18","13","31","9","35","108","0","1","103","48"
"F","Zack Ostapchuk","OTT/SJS","F","Act","","26","1","2","3","-5","17","12","0","0","47","2"
"F","Shane Pinto","OTT","F","Act","CAR 5<br/>@OTT 7 F","54","16","12","28","8","16","106","2","5","45","39"
"F","Sam Reinhart","FLA","F","Act","","68","33","39","72","10","27","181","26","6","82","57"
"F","Juraj Slafkovsky","MTL","F","Act","","63","14","27","41","-1","27","98","8","0","162","48"
"F","Tim Stutzle","OTT","F","Act","CAR 5<br/>@OTT 7 F","66","20","48","68","2","34","131","27","0","100","37"
"D","Erik Brannstrom","COL/VAN/NYR/BUF","D","Act","PHI 4<br/>@BUF 5 F","28","3","5","8","-4","17","33","1","0","14","39"
"D","Ethan Del Mastro","CHI","D","Act","","14","2","1","3","-1","0","11","0","0","19","13"
"D","Erik Gustafsson","DET","D","Act","DET 3<br/>@TOR 4 F","59","2","16","18","-17","20","67","9","0","28","44"
"D","Pierre-Olivier Joseph","STL/PIT","D","Act","WSH 2<br/>@PIT 5 F","47","0","3","3","-22","45","42","0","0","36","36"
"D","Olli Maatta","DET/UTA","D","Act","","64","2","13","15","9","14","61","0","0","19","114"
"D","Sean Walker","CAR","D","Act","CAR 5<br/>@OTT 7 F","67","3","10","13","1","36","114","0","0","73","79"
"F","Mikael Backlund","CGY","F","Res","CGY 5<br/>@LAK 1 F","64","11","13","24","0","28","146","6","1","34","39"
"F","Christian Fischer","DET/CBJ","F","Res","NYI 1<br/>@CBJ 6 F","41","1","6","7","-6","11","27","0","0","86","18"
"F","Vinni Lettieri","BOS","F","Res","","2","0","0","0","-1","0","1","0","0","5","1"
"F","Sean Monahan","CBJ","F","IR","NYI 1<br/>@CBJ 6 F","41","14","27","41","17","14","106","9","2","18","24"
"D","Torey Krug","STL","D","IR","","0","0","0","0","0","0","0","0","0","0","0"
"F","Colby Barlow","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ondrej Becher","DET","F","Min","DET 3<br/>@TOR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Sacha Boisvert","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Hagen Burrows","TBL","F","Min","TBL 0<br/>@NYR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Filip Bystedt","SJS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Drake Caggiula","EDM","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Zach Dean","STL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Grigori Denisenko","VGK/NSH","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Filip Hallander","PIT","F","Min","WSH 2<br/>@PIT 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Cross Hanas","DET","F","Min","DET 3<br/>@TOR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Gavin Hayes","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Karl Henriksson","NYR","F","Min","TBL 0<br/>@NYR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jimmy Huntington","PIT","F","Min","WSH 2<br/>@PIT 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Karson Kuhlman","NYI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Joel LEsperance","DET","F","Min","DET 3<br/>@TOR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","William Lockwood","FLA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Josh Lopina","ANA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Quinn Olson","LAK","F","Min","CGY 5<br/>@LAK 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Cedric Pare","TOR","F","Min","DET 3<br/>@TOR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jakub Stancl","STL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Charlie Stramel","MIN","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Marcus Sylvegard","STL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Patrick Thomas","WSH","F","Min","WSH 2<br/>@PIT 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Luke Toporowski","MIN","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Oskar Vuollet","CAR","F","Min","CAR 5<br/>@OTT 7 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Sean Day","TBL","D","Min","TBL 0<br/>@NYR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Artyom Duda","UTA","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jakub Dvorak","LAK","D","Min","CGY 5<br/>@LAK 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Adam Engstrom","MTL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Viggo Gustafsson","NSH","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jeremy Langlois","UTA","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Leo Loof","STL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jacob MacDonald","COL","F,D","32","","0","0","0","0","0","0","0","0","0","0","0"
"D","Ben Roger","CBJ","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Marco Scandella","STL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Calle Sjalin","BUF","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Hunter Skinner","STL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Andrew Strathmann","CBJ","D","Min","NYI 1<br/>@CBJ 6 F","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","1,116","211","329","540","-21","502","1,789","117","16","1,490","834"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W-G","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Logan Thompson","WSH","G","Act","WSH 2<br/>@PIT 5 F","36","27",".00","921",".000","2","0","0","1","1","0","0"
"G","Casey DeSmith","DAL","G","Res","","10","8",".00","241",".000","1","0","0","0","0","0","0"
"G","Pavel Cajan","(N/A)","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Drew Commesso","CHI","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Zachary Sawchenko","CBJ","G","Min","NYI 1<br/>@CBJ 6 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Jesper Wallstedt","MIN","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Mikhail Yegorov","NJD","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Michael Hutchinson","NJD","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"Totals","","","","","","46","35","999963.00","1,162",".000","3","0","0","1","1","0","0"
