"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Mathew Barzal","NYI","F","Act","","50","11","30","41","8","41","108","12","0","17","31"
"F","Jonatan Berggren","STL","F","Act","","31","5","6","11","-3","6","37","2","0","20","6"
"F","Ryan Donato","CHI","F","Act","FLA Sun 7:00PM","51","10","10","20","-13","34","81","2","0","59","12"
"F","Pavel Dorofeyev","VGK","F","Act","@OTT Sun 5:00PM","50","22","16","38","-8","14","137","21","0","21","22"
"F","Kirill Kaprizov","MIN","F","Act","","53","28","36","64","8","18","190","22","0","31","19"
"F","Anze Kopitar","LAK","F","Act","","37","6","15","21","12","8","49","7","0","19","34"
"F","Peyton Krebs","BUF","F","Act","","51","6","15","21","3","46","57","1","0","120","30"
"F","Oliver Moore","CHI","F","Act","FLA Sun 7:00PM","6","0","2","2","-3","9","5","0","0","2","2"
"F","Cole Smith","NSH","F","Act","","32","6","2","8","-6","25","49","0","1","99","7"
"F","Steven Stamkos","NSH","F","Act","","51","25","12","37","-15","26","121","12","0","52","20"
"F","Eeli Tolvanen","SEA","F","Act","NJD Sun 3:00PM","49","10","19","29","-12","16","84","11","0","128","54"
"F","Alexei Toropchenko","STL","F","Act","","7","0","0","0","-3","2","4","0","0","18","4"
"D","Emil Andrae","PHI","D","Act","","39","1","10","11","12","16","26","1","0","44","39"
"D","Brenden Dillon","NJD","D","Act","@SEA Sun 3:00PM","51","3","9","12","-10","39","38","0","1","129","71"
"D","Dmitry Orlov","SJS","D","Act","","50","1","22","23","-3","28","49","11","0","72","51"
"D","Ryan Shea","PIT","D","Act","@VAN Sun 6:00PM","50","2","16","18","18","18","45","0","0","29","62"
"D","Riley Stillman","EDM","D","Act","","0","0","0","0","0","0","0","0","0","0","0"
"D","Carter Yakemchuk","OTT","D","Act","VGK Sun 5:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Joakim Kemell","NSH","F","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jan Mysak","ANA","F","Res","@CGY Sun 8:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Miles Wood","CBJ","F","Res","","30","7","4","11","-7","14","48","0","1","37","8"
"D","Seamus Casey","NJD","D","Res","@SEA Sun 3:00PM","2","0","0","0","-3","0","4","0","0","0","1"
"F","Nick Bjugstad","STL","F","IR","","25","4","1","5","-4","12","39","0","0","52","18"
"F","Bryce Brodzinski","LAK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Arvid Costmar","VAN","F","Min","PIT Sun 6:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Semyon Der-Arguchintsev","TOR","F","Min","COL Sun 1:30PM","0","0","0","0","0","0","0","0","0","0","0"
