"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Brandon Bollig","CHI","F","Act","","17","0","0","0","1","47","21","0","0","25","4"
"F","Patrick Bordeleau","COL","F","Act","","30","0","2","2","-1","58","16","0","0","68","1"
"F","Troy Brouwer","WSH","F","Act","","34","13","13","26","-2","24","78","13","1","73","13"
"F","Mike Brown","TOR/EDM","F","Act","","25","1","1","2","-2","107","10","0","0","56","8"
"F","Alex Chiasson","DAL","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brandon Dubinsky","CBJ","F","Act","","4","0","1","1","-1","0","9","1","0","10","2"
"F","Zack Kassian","VAN","F","Act","","27","5","3","8","-7","30","37","3","0","50","2"
"F","Ryan Kesler","VAN","F","Act","","7","1","4","5","-4","4","15","2","0","10","7"
"F","Anze Kopitar","LAK","F","Act","","19","5","15","20","11","2","39","7","0","28","15"
"F","Jay Rosehill","ANA/PHI","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Steven Stamkos","TBL","F","Act","","34","25","21","46","-7","24","118","15","0","50","14"
"F","Kyle Turris","OTT","F","Act","OTT 4<br/>@BOS 2 F","35","8","14","22","3","14","80","8","0","24","18"
"D","Brenden Dillon","DAL","D","Act","","34","3","3","6","-2","55","57","0","0","98","49"
"D","Mike Green","WSH","D","Act","","22","5","6","11","2","8","51","4","0","21","37"
"D","Peter Harrold","NJD","D","Act","","8","2","1","3","-5","2","13","2","0","9","5"
"D","Dmitry Kulikov","FLA","D","Act","","25","1","7","8","-4","16","38","4","0","60","37"
"D","Adam McQuaid","BOS","D","Act","OTT 4<br/>@BOS 2 F","25","1","3","4","4","49","17","0","1","53","37"
"D","Shea Weber","NSH","D","Act","","29","7","13","20","3","19","76","9","0","52","62"
"F","John Scott","BUF","F,D","43","","24","0","0","0","-2","50","5","0","0","19","4"
"F","Eric Tangradi","PIT/WPG","F","Res","","29","1","1","2","-1","7","29","0","0","56","12"
"D","Brian Strait","NYI","D","Res","","15","0","4","4","3","6","10","0","0","25","15"
"F","Kyle Beach","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Stephane Da Costa","OTT","F","Min","OTT 4<br/>@BOS 2 F","1","0","0","0","0","0","1","0","0","0","0"
"F","Landon Ferraro","DET","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Eriah Hayes","SJS","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Marek Hrivik","NYR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Nicolas Kerdiles","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Corban Knight","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Danny Kristo","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jarrod Maidens","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brock Nelson","NYI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Andre Petersson","OTT","F","Min","OTT 4<br/>@BOS 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Brad Richardson","LAK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Michael St. Croix","NYR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Matej Stransky","DAL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tom Wilson","WSH","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jesse Blacker","TOR","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Matt Donovan","NYI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nick Ebert","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Martin Gernat","EDM","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Kevin Gravel","NSH","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Brenden Kichton","NYI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Hampus Lindholm","ANA","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Joe Morrow","PIT/DAL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nikita Nesterov","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Andrej Sustr","TBL","D","Min","","1","0","0","0","0","0","1","0","0","0","1"
"F","Daniel Bang","NSH","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Blake Comeau","CGY/CBJ","F","-","","4","0","0","0","-2","4","2","0","0","4","1"
"F","Adam Cracknell","STL","F","-","","2","0","0","0","0","0","0","0","0","2","0"
"F","Alexander Delnov","FLA","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Blake Geoffrion","MTL","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Brian Gionta","MTL","F","-","","5","2","1","3","1","0","19","1","0","7","0"
"F","Derek MacKenzie","CBJ","F","-","","14","2","1","3","1","18","13","0","0","25","6"
"F","Brian McGrattan","NSH/CGY","F","-","","5","0","0","0","-1","10","3","0","0","6","2"
"F","Jay Pandolfo","BOS","F","-","OTT 4<br/>@BOS 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tim Sestito","NJD","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Drew Shore","FLA","F","-","","13","1","7","8","4","2","38","1","0","8","5"
"F","Paul Stastny","COL","F","-","","17","4","6","10","-7","6","45","4","0","7","13"
"F","Dave Steckel","TOR/ANA","F","-","","3","0","0","0","-1","0","0","0","0","3","5"
"F","David van der Gulik","COL","F","-","","1","0","0","0","-1","0","0","0","0","2","1"
"F","Blake Wheeler","WPG","F","-","","6","3","3","6","-4","0","9","3","0","10","3"
"D","Cade Fairchild","STL","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Nick Holden","CBJ","D","-","","2","0","0","0","1","0","2","0","0","3","0"
"D","Arturs Kulda","WPG","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Andreas Lilja","PHI","D","-","","1","0","0","0","-1","0","0","0","0","3","1"
"D","Artem Sergeev","TBL","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Shayne Taker","(N/A)","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","518","90","130","220","-21","562","852","77","2","867","380"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Robin Lehner","OTT","G","Act","OTT 4<br/>@BOS 2 F","6","2","2.08","189",".936","0","0","0","0","0","0","0"
"G","Corey Crawford","CHI","G","Res","","18","12","2.07","418",".921","1","2","0","0","0","0","0"
"G","Ray Emery","CHI","G","IR","","12","10","2.20","274",".916","1","0","0","0","0","0","0"
"G","Mark Dekanich","WPG","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Mikko Koskinen","NYI","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Eddie Lack","VAN","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Mike Lee","PHO","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Barry Brust","OTT","G","-","OTT 4<br/>@BOS 2 F","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Joacim Eriksson","(N/A)","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Jaroslav Janus","TBL","G","-","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"Totals","","","","","","36","24","2.12","881",".923","2","2","0","0","0","0","0"
