"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Craig Adams","PIT","F","Act","","3","0","0","0","0","0","2","0","0","6","2"
"F","Matt Beleskey","ANA","F","Act","","4","2","2","4","2","6","7","1","0","10","1"
"F","Andrew Cogliano","ANA","F","Act","","4","2","1","3","1","0","4","0","0","4","2"
"F","Patrick Dwyer","CAR","F","Act","","4","0","1","1","-4","4","11","0","0","5","1"
"F","Teemu Hartikainen","EDM","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Nathan Horton","BOS","F","Act","OTT 4<br/>@BOS 2 F","3","1","0","1","1","0","8","0","0","0","0"
"F","Marcus Johansson","WSH","F","Act","","4","0","5","5","5","0","6","1","1","2","1"
"F","David Krejci","BOS","F","Act","OTT 4<br/>@BOS 2 F","3","1","1","2","1","2","7","0","0","3","3"
"F","James Neal","PIT","F","Act","","3","0","0","0","-2","2","13","0","0","7","0"
"F","Alexander Semin","CAR","F","Act","","3","0","2","2","-3","2","10","1","0","0","1"
"F","Ryan Smyth","EDM","F","Act","","4","0","1","1","-1","4","4","0","0","4","2"
"F","Viktor Stalberg","CHI","F","Act","","4","1","1","2","2","5","9","0","0","3","1"
"D","T.J. Brennan","BUF/FLA","D","Act","","3","0","3","3","2","0","4","2","0","8","4"
"D","Eric Brewer","TBL","D","Act","","4","0","1","1","-1","2","6","0","0","7","11"
"D","Victor Hedman","TBL","D","Act","","2","0","1","1","1","0","4","0","0","2","6"
"D","Johnny Oduya","CHI","D","Act","","4","0","0","0","3","0","4","0","0","4","6"
"D","Luke Schenn","PHI","D","Act","","3","1","1","2","3","2","10","0","0","11","8"
"D","Clayton Stoner","MIN","D","Act","","4","0","0","0","-2","6","4","0","0","9","2"
"F","Tom Pyatt","TBL","F","Res","","4","2","0","2","3","4","7","0","0","2","2"
"F","Matt Read","PHI","F","Res","","3","0","2","2","0","0","2","0","0","7","2"
"D","Tomas Kundratek","WSH","D","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jamie Langenbrunner","STL","F","IR","","0","0","0","0","0","0","0","0","0","0","0"
"F","Alex Broadhurst","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Yanni Gourde","TBL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Maxime Macenauer","WPG","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Maksim Mayorov","CBJ","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Andreas Nodl","CAR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Stefan Noesen","OTT","F","Min","OTT 4<br/>@BOS 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Zach OBrien","TOR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Alexander Radulov","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Kevin Roy","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jerome Samson","CAR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mark Stone","OTT","F","Min","OTT 4<br/>@BOS 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Marc-Andre Bourdon","PHI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Eric Gelinas","NJD","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jani Hakanpaa","STL","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Colten Teubert","EDM","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Dave Bolland","CHI","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Trevor Daley","DAL","D","-","","0","0","0","0","0","0","0","0","0","0","0"
"D","Chris Phillips","OTT","D","-","OTT 4<br/>@BOS 2 F","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","66","10","22","32","11","39","122","5","1","94","55"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Anton Khudobin","BOS","G","Act","OTT 4<br/>@BOS 2 F","1","1",".00","45",".000","0","0","0","0","0","0","0"
"G","Jaroslav Halak","STL","G","Res","","1","0",".00","5",".000","0","0","0","0","0","0","0"
"G","Atte Engren","NSH","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"G","Chris Gibson","LAK","G","Min","","0","0",".00","0",".000","0","0","0","0","0","0","0"
"Totals","","","","","","2","1","999963.00","50",".000","0","0","0","0","0","0","0"
