"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Justin Abdelkader","DET","F","Act","DET 2<br/>@CAR 0 F","61","19","18","37","7","56","126","12","0","139","24"
"F","Ryane Clowe","NJD","F","Act","NJD 2<br/>@FLA 3 F","13","1","3","4","-1","4","15","0","0","21","1"
"F","Steve Downie","PIT","F","Act","PIT 2<br/>@BUF 0 F","61","12","14","26","7","221","83","4","0","100","29"
"F","Marcus Foligno","BUF","F","Act","PIT 2<br/>@BUF 0 F","43","6","8","14","-4","50","43","1","0","148","31"
"F","Michael Frolik","WPG","F","Act","CGY 1<br/>@WPG 5 F","69","16","21","37","5","16","168","5","3","57","32"
"F","Evgeni Malkin","PIT","F","Act","PIT 2<br/>@BUF 0 F","63","28","40","68","5","60","190","24","0","20","15"
"F","Shawn Matthias","VAN","F","Act","EDM 5<br/>@VAN 6 F","66","17","8","25","-1","16","118","1","1","59","28"
"F","Daniel Paille","BOS","F","Act","BOS 2<br/>@TBL 3 F","67","5","7","12","-7","12","62","0","2","73","32"
"F","Corey Perry","ANA","F","Act","ANA 2<br/>@ARI 1 F","56","28","19","47","13","59","160","7","0","54","21"
"F","Jack Skille","CBJ","F","Act","CBJ 5<br/>@NYI 4 F","42","5","2","7","-19","11","88","0","0","89","15"
"F","Nick Spaling","PIT","F","Act","PIT 2<br/>@BUF 0 F","47","6","7","13","3","16","40","0","0","78","24"
"F","Jordan Staal","CAR","F","Act","DET 2<br/>@CAR 0 F","32","4","13","17","-7","12","64","6","0","54","12"
"D","Chris Butler","STL","D","Act","MIN 2<br/>@STL 4 F","31","3","5","8","6","17","49","0","1","27","36"
"D","Jason Demers","SJS/DAL","D","Act","NSH 1<br/>@DAL 4 F","69","4","18","22","-11","63","84","5","0","105","69"
"D","Mark Fayne","EDM","D","Act","EDM 5<br/>@VAN 6 F","69","2","6","8","-21","12","73","0","2","78","120"
"D","Cody Franson","TOR/NSH","D","Act","NSH 1<br/>@DAL 4 F","68","6","29","35","-5","26","109","16","0","168","122"
"D","Darnell Nurse","EDM","D","Act","EDM 5<br/>@VAN 6 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Chris Summers","ARI/NYR","D","Act","NYR 4<br/>@WSH 2 F","7","0","1","1","-4","2","7","0","0","14","10"
"F","Ryan White","PHI","F","Res","OTT 3<br/>@PHI 1 F","3","0","1","1","1","2","6","0","0","9","1"
"D","Corey Potter","CGY","D","Res","CGY 1<br/>@WPG 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Justin Auger","LAK","F","Min","SJS 1<br/>@LAK 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tyler Bertuzzi","DET","F","Min","DET 2<br/>@CAR 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Josh Brittain","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Gilbert Brule","PHO","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Fabian Brunnstrom","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Philippe Cornet","WSH","F","Min","NYR 4<br/>@WSH 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Connor Crisp","MTL","F","Min","MTL 4<br/>@TOR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jacob de la Rose","MTL","F","Min","MTL 4<br/>@TOR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Max Domi","ARI","F","Min","ANA 2<br/>@ARI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Andrew Ebbett","PIT","F","Min","PIT 2<br/>@BUF 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Nikita Filatov","OTT","F","Min","OTT 3<br/>@PHI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Brian Hart","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mark Jankowski","CAR","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Scott Kosmachuk","WPG","F","Min","CGY 1<br/>@WPG 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Andrei Kostitsyn","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jayson Megna","PIT","F","Min","PIT 2<br/>@BUF 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Fredrik Olofsson","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Dustin Penner","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Ty Rattie","STL","F","Min","MIN 2<br/>@STL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Michal Repik","FLA","F","Min","NJD 2<br/>@FLA 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Michael Sgarbossa","COL/ANA","F","Min","ANA 2<br/>@ARI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Ryan Shannon","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Colton Sissons","NSH","F","Min","NSH 1<br/>@DAL 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Beau Starrett","EDM","F","Min","EDM 5<br/>@VAN 6 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Lukas Sutter","NYI","F","Min","CBJ 5<br/>@NYI 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Paul Szczechura","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Teuvo Teravainen","CHI","F","Min","CHI 2<br/>@COL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Tomas Vincour","COL","F","Min","CHI 2<br/>@COL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Mat Clark","ANA/COL","D","Min","CHI 2<br/>@COL 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Brian Cooper","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Sebastian Erixon","ANA","D","Min","ANA 2<br/>@ARI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Aaron Johnson","OTT","D","Min","OTT 3<br/>@PHI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Derek Joslin","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Brendan Mikkelson","TOR","D","Min","MTL 4<br/>@TOR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Travis Sanheim","PHI","D","Min","OTT 3<br/>@PHI 1 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Brady Skjei","NYR","D","Min","NYR 4<br/>@WSH 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Alexander Sulzer","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"Totals","","","","","","867","162","220","382","-33","655","1,485","81","9","1,293","622"
"Goalies"
