"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Ethan Cardwell","SJS","F","Act","","0","0","0","0","0","0","0","0","0","0","0"
"F","Nicolas Deslauriers","PHI","F","Act","PHI 4<br/>@BUF 5 F","4","0","0","0","-2","0","0","0","0","13","1"
"F","Jordan Eberle","SEA","F","Act","","3","1","0","1","-2","0","4","0","0","4","1"
"F","Mikey Eyssimont","TBL/SEA","F","Act","","3","0","1","1","0","4","11","0","0","3","1"
"F","Joel Farabee","PHI/CGY","F","Act","CGY 5<br/>@LAK 1 F","3","0","1","1","-1","2","3","0","0","6","1"
"F","Nazem Kadri","CGY","F","Act","CGY 5<br/>@LAK 1 F","4","3","1","4","4","2","12","1","0","2","0"
"F","Nikita Kucherov","TBL","F","Act","TBL 0<br/>@NYR 4 F","4","2","3","5","-2","2","17","2","0","0","4"
"F","Alexis Lafreniere","NYR","F","Act","TBL 0<br/>@NYR 4 F","3","0","2","2","0","2","3","0","0","9","3"
"F","Ondrej Palat","NJD","F","Act","","1","0","0","0","0","0","0","0","0","2","1"
"F","Taylor Raddysh","WSH","F","Act","WSH 2<br/>@PIT 5 F","3","0","0","0","1","0","5","0","0","1","1"
"F","Ryan Reaves","TOR","F","Act","DET 3<br/>@TOR 4 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Chandler Stephenson","SEA","F","Act","","2","0","1","1","0","0","2","0","0","0","2"
"D","Nick Blankenburg","NSH","D","Act","","4","0","2","2","0","4","9","1","0","2","8"
"D","Erik Karlsson","PIT","D","Act","WSH 2<br/>@PIT 5 F","3","0","1","1","-2","0","9","1","0","0","2"
"D","Niko Mikkola","FLA","D","Act","","3","0","0","0","-3","2","2","0","0","2","1"
"D","Pavel Mintyukov","ANA","D","Act","","3","0","2","2","1","0","4","0","0","6","4"
"D","Adam Pelech","NYI","D","Act","NYI 1<br/>@CBJ 6 F","3","0","0","0","0","4","7","0","0","1","5"
"D","MacKenzie Weegar","CGY","D","Act","CGY 5<br/>@LAK 1 F","3","0","2","2","3","2","7","1","0","11","11"
