"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Peter Holland","ANA","F","Act","","14","3","1","4","3","4","18","1","0","10","7"
"F","Ryan Jones","EDM","F","Act","","16","1","2","3","-2","8","22","0","0","35","9"
"F","Tyler Kennedy","PIT","F","Act","","25","4","4","8","1","13","54","2","0","20","4"
"F","Guillaume Latendresse","OTT","F","Act","OTT 4<br/>@BOS 2 F","14","4","3","7","1","8","28","0","0","28","4"
"F","Vincent Lecavalier","TBL","F","Act","","26","7","15","22","1","18","62","6","0","60","11"
"F","Mark Letestu","CBJ","F","Act","","34","9","11","20","6","8","65","3","2","30","10"
"F","Bryan Little","WPG","F","Act","","20","2","9","11","1","4","32","1","0","12","12"
"F","Peter Mueller","FLA","F","Act","","21","3","6","9","-8","6","83","2","0","10","4"
"F","David Perron","STL","F","Act","","33","9","13","22","-1","34","64","6","0","31","10"
"F","Ryan Reaves","STL","F","Act","","24","1","1","2","-1","51","13","0","0","68","5"
"F","Drew Stafford","BUF","F","Act","","25","5","5","10","-4","8","65","0","0","27","6"
"F","Nate Thompson","TBL","F","Act","","34","7","4","11","-1","6","49","0","0","68","25"
"F","Jiri Tlusty","CAR","F","Act","","28","14","9","23","12","10","65","4","0","29","25"
"D","Keith Aulie","TBL","D","Act","","25","0","2","2","-2","31","15","0","0","47","22"
"D","Dustin Byfuglien","WPG","D","Act","","21","3","11","14","1","16","72","5","0","33","24"
"D","Mark Fistric","EDM","D","Act","","17","0","2","2","3","14","5","0","0","67","36"
"D","Carl Gunnarsson","TOR","D","Act","","19","0","10","10","6","8","18","0","0","44","41"
"D","Kris Letang","PIT","D","Act","","28","3","25","28","11","8","73","7","0","36","48"
"D","Jake Muzzin","LAK","D","Act","","32","6","8","14","13","33","53","6","0","46","20"
"F","Brett Connolly","TBL","F","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","Colton Orr","TOR","F","Res","","28","1","3","4","2","113","8","0","0","49","7"
"D","Andrew MacDonald","NYI","D","Res","","35","2","6","8","-11","14","39","2","0","15","92"
"F","Dale Weise","VAN","F","IR","","31","2","3","5","-4","41","31","0","0","64","11"
"D","Erik Karlsson","OTT","D","IR","OTT 4<br/>@BOS 2 F","14","6","4","10","6","8","63","3","1","10","10"
"F","Michael Bournival","MTL","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
