"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Lance Bouma","CGY","F","Act","CGY 1<br/>@VAN 5 F","44","3","7","10","-3","24","47","0","0","124","57"
"F","Michael Cammalleri","CGY","F","Act","CGY 1<br/>@VAN 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Justin Fontaine","MIN","F","Act","NSH 7<br/>@MIN 3 F","41","9","6","15","1","18","51","2","0","2","16"
"F","Shawn Horcoff","DAL","F","Act","DAL 1<br/>@PHO 2 F","64","7","11","18","-1","46","55","4","1","49","25"
"F","Elias Lindholm","CAR","F","Act","CAR 6<br/>@PHI 5 F","16","2","4","6","-7","2","18","0","0","15","2"
"F","Michael Ryder","NJD","F","Act","BOS 2<br/>@NJD 3 F","57","16","10","26","-10","12","114","6","1","38","10"
"F","Daniel Sedin","VAN","F","Act","CGY 1<br/>@VAN 5 F","63","13","27","40","7","38","196","15","0","31","19"
"F","Riley Sheahan","DET","F","Act","DET 3<br/>@STL 0 F","3","0","1","1","-1","0","3","0","0","2","0"
"F","R.J. Umberger","CBJ","F","Act","","56","15","15","30","-6","16","111","11","1","85","25"
"F","Scottie Upshall","FLA","F","Act","","62","13","20","33","3","61","128","6","1","114","18"
"F","Kris Versteeg","FLA/CHI","F","Act","","67","10","21","31","-5","30","130","7","0","24","22"
"F","Joel Ward","WSH","F","Act","TBL 1<br/>@WSH 0 F","69","20","20","40","3","20","113","9","2","45","56"
"D","Francois Beauchemin","ANA","D","Act","COL 2<br/>@ANA 3 F","43","2","8","10","13","29","49","1","0","71","107"
"D","Eric Gelinas","NJD","D","Act","BOS 2<br/>@NJD 3 F","8","1","3","4","2","2","12","3","0","7","3"
"D","Ron Hainsey","CAR","D","Act","CAR 6<br/>@PHI 5 F","51","1","9","10","-3","37","44","0","1","63","75"
"D","Ben Lovejoy","ANA","D","Act","COL 2<br/>@ANA 3 F","53","4","10","14","22","25","66","1","0","150","107"
"D","Brendan Smith","DET","D","Act","DET 3<br/>@STL 0 F","45","1","12","13","-5","48","53","0","0","39","50"
"D","Brad Stuart","SJS","D","Act","","49","3","6","9","7","29","52","0","0","95","96"
"F","Anton Lander","EDM","F","Res","","0","0","0","0","0","0","0","0","0","0","0"
"F","Jay McClement","TOR","F","Res","","68","3","5","8","-6","28","54","0","1","122","48"
"D","Aaron Rome","DAL","D","Res","DAL 1<br/>@PHO 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Torrey Mitchell","MIN/BUF","F","IR","NYI 4<br/>@BUF 3 F","25","1","3","4","-4","8","22","0","0","21","5"
"D","Keith Ballard","MIN","D","IR","NSH 7<br/>@MIN 3 F","32","2","3","5","-11","28","19","1","0","40","22"
"F","Max Friberg","ANA","F","Min","COL 2<br/>@ANA 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Zach Hamill","VAN","F","Min","CGY 1<br/>@VAN 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","T.J. Hensick","DET","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Toby Petersen","DAL","F","Min","DAL 1<br/>@PHO 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Avery Peterson","MIN","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","David Pope","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Taylor Pyatt","NYR/PIT","F","Min","OTT 3<br/>@PIT 2 F","29","0","1","1","-17","12","27","0","0","30","14"
"F","Eric Selleck","FLA/STL","F","Min","DET 3<br/>@STL 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jim Slater","WPG","F","Min","","8","0","1","1","-2","0","8","0","0","9","3"
"F","Gemel Smith","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Sergey Tolchinsky","CAR","F","Min","CAR 6<br/>@PHI 5 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Marek Tvrdon","DET","F","Min","DET 3<br/>@STL 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Dana Tyrell","TBL/CBJ","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Cody Wydo","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Harry Zolnierczyk","PIT","F","Min","OTT 3<br/>@PIT 2 F","2","1","0","1","1","2","1","0","0","1","0"
"D","Linus Arnesson","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Jonathan-Ismael Diaby","NSH","D","Min","NSH 7<br/>@MIN 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Dillon Fournier","CHI","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Maxim Goncharov","PHO","D","Min","DAL 1<br/>@PHO 2 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Korbinian Holzer","TOR","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Eric Knodel","TOR","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Filip Kuba","(N/A)","D","Min","","0","0","0","0","0","0","0","0","0","0","0"
"D","Radek Martinek","NYI","D","Min","NYI 4<br/>@BUF 3 F","1","0","0","0","-3","2","1","0","0","0","1"
"D","Xavier Ouellet","DET","D","Min","DET 3<br/>@STL 0 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Nikita Zadorov","BUF","D","Min","NYI 4<br/>@BUF 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Eric Belanger","(N/A)","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Tim Brent","(N/A)","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Loui Eriksson","BOS","F","-","BOS 2<br/>@NJD 3 F","11","0","2","2","2","2","10","0","0","3","1"
"F","Ilya Kovalchuk","(N/A)","F","-","","0","0","0","0","0","0","0","0","0","0","0"
"F","Nikita Kucherov","TBL","F","-","TBL 1<br/>@WSH 0 F","1","1","0","1","2","0","1","0","0","1","0"
"F","Antoine Vermette","PHO","F","-","DAL 1<br/>@PHO 2 F","51","15","12","27","-1","30","109","7","2","64","42"
"D","Dan Boyle","SJS","D","-","","6","1","1","2","2","0","21","0","0","4","8"
"D","Duncan Keith","CHI","D","-","","53","3","43","46","17","8","134","18","1","22","62"
"D","Lubomir Visnovsky","NYI","D","-","NYI 4<br/>@BUF 3 F","8","1","2","3","3","2","11","2","0","5","6"
"Totals","","","","","","1,086","148","263","411","0","559","1,660","93","11","1,276","900"
"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","GP","W","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
