"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Sebastian Aho","CAR","F","Act","CAR 1<br/>@NSH 3 F","37","15","18","33","9","14","95","10","1","21","14"
"F","Aleksander Barkov","FLA","F","Act","TBL 1<br/>@FLA 5 F","33","14","26","40","13","6","119","12","1","19","22"
"F","J.T. Compher","COL","F","Act","COL 3<br/>@LAK 2 F","29","4","5","9","4","15","28","2","0","20","24"
"F","Carl Grundstrom","LAK","F","Act","COL 3<br/>@LAK 2 F","28","3","3","6","0","12","38","2","0","59","14"
"F","David Kampf","CHI","F","Act","","35","0","6","6","-2","14","45","0","0","20","10"
"F","Martin Kaut","COL","F","Act","COL 3<br/>@LAK 2 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Evgeny Kuznetsov","WSH","F","Act","PHI 1<br/>@WSH 2 F","27","6","13","19","7","10","54","3","0","16","15"
"F","Mitch Marner","TOR","F","Act","MTL 2<br/>@TOR 3 F","38","13","34","47","20","16","105","13","1","18","28"
"F","Nicolas Roy","VGK","F","Act","STL 1<br/>@VGK 4 F","22","1","2","3","1","6","21","0","0","21","15"
"F","Bryan Rust","PIT","F","Act","BUF 0<br/>@PIT 1 F","38","14","14","28","6","10","114","7","0","40","17"
"F","Yegor Sharangovich","NJD","F","Act","NJD 1<br/>@NYI 5 F","34","8","5","13","0","2","71","0","0","13","14"
"F","Antti Suomela","SJS/TOR","F","Act","MTL 2<br/>@TOR 3 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Kyle Capobianco","ARI","D","Act","ARI 5<br/>@SJS 4 F","0","0","0","0","0","0","0","0","0","0","0"
"D","Dylan DeMelo","WPG","D","Act","OTT 4<br/>@WPG 2 F","19","0","2","2","1","4","10","0","0","25","21"
"D","Mathew Dumba","MIN","D","Act","ANA 3<br/>@MIN 4 F","31","5","7","12","8","12","64","2","0","49","46"
"D","Dante Fabbro","NSH","D","Act","CAR 1<br/>@NSH 3 F","37","2","9","11","-1","23","57","1","0","31","56"
"D","Adam Larsson","EDM","D","Act","VAN 3<br/>@EDM 4 F","38","3","5","8","-2","18","34","0","0","116","104"
"D","Rasmus Ristolainen","BUF","D","Act","BUF 0<br/>@PIT 1 F","28","3","7","10","-9","22","49","4","0","101","34"
"F","Noah Gregor","SJS","F","Res","ARI 5<br/>@SJS 4 F","8","3","0","3","-3","4","9","0","0","14","1"
"D","Mikey Anderson","LAK","D","Res","COL 3<br/>@LAK 2 F","34","0","7","7","1","14","33","0","1","36","43"
"D","Matt Irwin","BUF","D","Res","BUF 0<br/>@PIT 1 F","13","0","1","1","-5","4","16","0","0","30","34"
